abase: erniedrigen
epoch: Epoche
equanimity: Gleichmut
equestrian: Reitsport
equitable: gerechte
equivocal: zweideutig
erudite: gelehrt
esoteric: esoterisch
espouse: eintreten
estimable: schätzenswert
estrange: entfremden
ethereal: ätherisch
ethics: Ethik
eulogy: Lobrede
euphemism: Euphemismus
evanescent: evaneszenten
evince: bekunden
evoke: hervorrufen
exacerbate: verschärfen
exacting: anspruchsvoll
exalt: erhöhen
exasperate: zur Verzweiflung bringen
excise: Verbrauch
exemplify: veranschaulichen
exempt: befreit
exhaustive: erschöpfend
exhort: ermahnen
exhume: exhumieren
exigency: Dringlichkeit
existential: existentielle
exodus: Exodus
exonerate: entlasten
exorbitant: exorbitant
expatriate: Expatriate
expedient: zweckmäßig
expedite: beschleunigen
expiate: sühnen
explicate: erläutern
explicit: explizit
exposition: Exposition
expostulate: protestieren
expunge: auslöschen
exquisite: exquisit
extant: noch vorhanden
extol: verherrlichen
extort: erpressen
extraneous: fremd
extrapolate: extrapolieren
extremity: Extremität
extricate: befreien
extrovert: extravertiert
exuberant: überschwänglich
exult: frohlocken
fabrication: Herstellung
facade: Fassade
facet: Facette
facetious: scherzhaft
facile: leicht
faction: Fraktion
fallacy: Irrtum
farcical: possenhaft
fastidious: anspruchsvoll
fatalist: Fatalist
fathom: ergründen
fatuous: albern
fauna: Fauna
faux: faux
fawn: Kitz
fecund: fruchtbar
feign: vortäuschen
felicity: Glückseligkeit
fervor: Inbrunst
fester: eitern
fetish: Fetisch
fetter: Fessel
fiasco: Fiasko
fiat: fiat
fickle: wankelmütig
fidelity: Treue
figment: Fiktion
figurative: figürlich
finesse: Finesse
fiscal: Geschäfts
flagrant: flagrant
flaunt: zur Schau stellen
fledgling: Grünschnabel
flippant: leichtfertig
florid: blumig
flout: missachten
fodder: Futter
foible: Schwäche
folly: Torheit
foment: schüren
foray: Beutezug
forbear: Vorfahr
forebode: verkünden
foreclose: ausschließen
forego: verzichten auf
forensic: Forensik
forestall: zuvorkommen
forsake: verlassen
forswear: abschwören
forte: Stärke
forthright: offen
fortuitous: zufällig
foster: fördern
founder: Gründer
fragmentary: fragmentarisch
fraternal: brüderlich
frenetic: frenetisch
frugal: sparsam
fruitful: fruchtbar
fuel: Kraftstoff
fulminate: wettern
furtive: verstohlen
futile: zwecklos
gaffe: Fauxpas
galvanize: galvanisieren
gambit: Gambit
gamut: Tonumfang
garner: Garner
garrulous: geschwätzig
gastronomy: Gastronomie
gauche: linkisch
generic: Generika
genesis: Genesis
genocide: Völkermord
genre: Genre
genteel: vornehm
germane: zur Sache gehörig
gesticulate: gestikulieren
ghastly: grässlich
glut: Schwemme
grandiloquent: trab
grandiose: grandios
gratis: gratis
gratuitous: unentgeltlich
gravity: Schwerkraft
gregarious: gesellig
grievous: schmerzlich
grimace: Grimasse
guile: List
guise: Aufmachung
habituate: gewöhnen
hackneyed: abgedroschen
halcyon: Halcyon
hapless: glücklos
harass: belästigen
harbinger: Vorbote
harp: Harfe
harry: harry
hedonism: Hedonismus
hegemony: Hegemonie
heinous: abscheulich
herald: Herold
heresy: Ketzerei
hermetic: hermetisch
heyday: Blütezeit
hiatus: Hiatus
hierarchy: Hierarchie
histrionic: theatralisch
hoary: ergraut
homage: Huldigung
homily: Predigt
homogeneous: homogene
hubris: Hybris
husbandry: Landwirtschaft
hyperbole: Hyperbel
hypocrisy: Heuchelei
hypothetical: hypothetisch
iconoclast: Bilderstürmer
ideology: Ideologie
idiom: Idiom
idiosyncrasy: Idiosynkrasie
idyllic: idyllisch
ignominy: Schmach
illicit: illegal
imbue: durchdringen
immigrate: einwandern
imminent: unmittelbar bevorstehend
immutable: unveränderlich
impartial: unparteiisch
impasse: Sackgasse
impeach: anklagen
impeccable: einwandfrei
impecunious: mittellos
impede: behindern
impending: bevorstehend
impenetrable: undurchdringlich
imperative: Imperativ-
imperial: kaiserlich
impervious: undurchlässig
impetuous: ungestüm
implement: implementieren
implication: Implikation
importune: belästigen
impotent: impotent
impoverish: arm machen
impregnable: uneinnehmbar
impresario: Impresario
impromptu: Impromptu
improvise: improvisieren
impugn: bestreiten
impunity: Straflosigkeit
inadvertent: unbeabsichtigte
inalienable: unveräußerlich
inane: albern
inaugurate: weihen
incandescent: Glühlampen
incantation: Beschwörung
incarnation: Menschwerdung
incendiary: Brandstifter
incense: Weihrauch
incessant: unaufhörlich
incipient: beginnend
incisive: prägnant
inclination: Neigung
incongruous: unpassend
incorrigible: unverbesserlich
increment: Zuwachs
inculcate: einschärfen
incumbent: obliegend
incursion: Einfall
indict: anklagen
indifferent: gleichgültig
indigenous: einheimisch
indigent: bedürftig
indignant: empört
indolent: träge
induce: induzieren
indulgent: nachsichtig
ineffable: unaussprechlich
ineluctable: unausweichlich
inept: ungeschickt
ineradicable: unausrottbar
inert: inert
inexorable: unerbittlich
infamous: berüchtigt
infatuated: vernarrt
infer: schließen
infinitesimal: infinitesimal
inflammatory: Entzündungs
influx: Zustrom
infraction: Regelverstoß
infrastructure: Infrastruktur
infringe: verletzen
infuse: einflößen
ingenuous: naiv
ingratiate: einschmeicheln
inherent: inhärent
inimical: feindlich
injunction: gerichtliche Verfügung
innate: angeboren
innocuous: harmlos
innuendo: Anspielung
inordinate: unmäßig
inquisition: Inquisition
insatiable: unersättlich
insidious: heimtückisch
insinuate: unterstellen
insipid: fade
insolent: frech
insouciant: insouciant
instigate: anstiften
insufferable: unerträglich
insular: insular
insuperable: unüberwindlich
insurgent: Aufständischer
insurrection: Aufstand
integral: Integral-
integrate: integrieren
interim: Zwischen-
interloper: Eindringling
interlude: Zwischenspiel
interminable: endlos
intermittent: intermittierend
intersperse: durchsetzen
intervene: eingreifen
intimate: intim
intractable: widerspenstig
intransigent: unnachgiebig
intricate: kompliziert
intrigue: Intrigen
intrinsic: innere
introspective: introspektiv
inundate: überschwemmen
invective: Schmähung
inveterate: eingefleischter
invidious: gehässig
inviolate: unangetastet
invoke: aufrufen
irascible: jähzornig
iridescent: irisierend
ironic: ironisch
irrevocable: unwiderruflich
itinerant: Wander-
jargon: Jargon
jaunt: Ausflug
jingoism: Chauvinismus
jocular: scherzhaft
jubilation: Jubel
judicious: umsichtige
junction: Kreuzung
junta: Junta
juxtapose: nebeneinander stellen
karma: Karma
kinetic: kinetisch
labyrinth: Labyrinth
laconic: lakonisch
lament: Klage
lampoon: Pamphlet
languish: schmachten
larceny: Diebstahl
largess: Großzügigkeit
lascivious: lasziv
latent: latent
laud: loben
lavish: verschwenderisch
lax: lax
layman: Laie
legacy: Erbe
lethargy: Lethargie
levity: Leichtfertigkeit
liaison: Liaison
libel: Verleumdung
licentious: ausschweifend
limpid: klar
listless: lustlos
litany: Litanei
litigate: prozessieren
livid: bleifarben
loath: abgeneigt
lobby: Lobby
loquacious: redselig
lout: Lümmel
lucid: klar
ludicrous: lächerlich
lugubrious: schwermütig
luminous: leuchtend
lyrical: lyrisch
machination: Umtriebe
magnanimous: großmütig
magnate: Magnat
malaise: Unwohlsein
malapropism: Malapropismus
malfeasance: Amtsvergehen
malignant: maligne
malinger: simulieren
malleable: formbar
mandate: Mandat
mania: Manie
manifest: Manifest
manifesto: Manifest
marginal: marginal
marshal: Marschall
martial: Kampf
martyr: Märtyrer
materialistic: materialistisch
matriculate: immatrikulieren
maudlin: rührselig
maverick: Einzelgänger
mawkish: rührselig
maxim: Maxime
meander: Mäander
mediate: vermitteln
medium: Medium
melancholy: Melancholie
melee: Handgemenge
mellifluous: wohltönend
menagerie: Menagerie
mendacious: verlogen
mendicant: Bettler
mentor: Mentor
mercenary: Söldner
mercurial: mercurial
metamorphosis: Metamorphose
meticulous: akribisch
microcosm: Mikrokosmos
milieu: Milieu
millennium: Millennium
miniscule: winziges
mire: Schlamm
misanthropic: menschenfeindlich
mitigate: mildern
mode: Modus
modulate: modulieren
mollify: besänftigen
momentum: Schwung
monolithic: monolithisch
moratorium: Moratorium
mores: Sittenkodex
moribund: moribund
morose: mürrisch
mortify: kasteien
motif: Motiv
motley: bunt
mundane: banal
municipal: Gemeinde
munificent: freigebig
muse: Muse
muster: aufbringen
myopia: Kurzsichtigkeit
myriad: Myriade
mystic: Mystiker
narcissism: Narzissmus
nebulous: nebulös
nefarious: ruchlos
nemesis: Nemesis
neologism: Neologismus
neophyte: Neophyt
nepotism: Vetternwirtschaft
nihilism: Nihilismus
nirvana: Nirwana
noisome: schädlich
nomadic: nomadisch
nomenclature: Nomenklatur
nominal: nominal
nonchalant: nonchalant
nostalgia: Nostalgie
notorious: berüchtigt
novel: Roman
noxious: schädlich
nuance: Nuance
nullify: annullieren
obdurate: verstockt
obeisance: Ehrerbietung
obfuscate: vernebeln
objective: Objektiv
oblique: schräg
oblivion: Vergessenheit
obscure: obskur
obsequious: unterwürfig
obtrusive: aufdringlich
obtuse: stumpf
obviate: vermeiden
occult: Okkulte
odious: verhasst
odyssey: Odyssee
officious: übereifrig
olfactory: olfaktorisch
oligarchy: Oligarchie
ominous: bedrohlich
omniscient: allwissend
onerous: beschwerlich
opaque: undurchsichtig
opprobrious: schmähend
opulent: üppig
ordinance: Verordnung
orthodox: orthodox
oscillate: oszillieren
osmosis: Osmose
ostensible: vorgebliche
ostentatious: protzig
ostracize: ächten
oust: verdrängen
override: Override
overture: Ouvertüre
oxymoron: Oxymoron
pacify: beruhigen
painstaking: mühsamen
palatable: schmackhaft
palliate: lindern
pallor: Blässe
palpable: tastbar
paltry: dürftig
panacea: Allheilmittel
pandemic: Pandemie
panegyric: Lobrede
parable: Gleichnis
paradigm: Paradigma
paradox: Paradox
paragon: Ausbund
parallel: parallel
paranoia: Paranoia
paranormal: paranormal
parochial: parochial
parody: Parodie
paroxysm: Anfall
parsimonious: sparsam
partisan: Partisan
partition: Trennwand
pastoral: pastoral
patent: Patent
paternal: väterlich
pathology: Pathologie
pathos: Pathos
patina: Patina
patriarch: Patriarch
patrician: patrizisch
patrimony: Patrimonium
patronize: unterstützen
paucity: Mangel
peccadillo: kleine Sünde
peculiar: eigen
pedantic: pedantisch
pedestrian: Fußgänger
pejorative: abwertend
penchant: Vorliebe
penitent: Büßer
pensive: nachdenklich
peregrination: peregrination
peremptory: gebieterisch
perennial: mehrjährig
perfidy: Perfidie
perfunctory: flüchtig
peripatetic: peripatetic
periphery: Peripherie
perjury: Meineid
permeate: durchdringen
pernicious: verderblich
perpetrator: Täter
perpetuate: verewigen
perquisite: Vergünstigung
pertinent: sachdienlich
perturb: stören
peruse: lesen
pervade: durchdringen
perverse: pervers
petulant: gereizt
phantasm: Phantasma
philanthropy: Philanthropie
philistine: Philister
phlegmatic: phlegmatisch
pilgrimage: Wallfahrt
pious: fromm
pivotal: Schwenk
placate: besänftigen
placebo: Placebo
plaintive: klagend
platitude: Platitüde
platonic: platonisch
plausible: plausibel
plebeian: Plebejer
plethora: Fülle
pliable: geschmeidig
plight: Notlage
plunder: Plunder
pluralism: Pluralismus
poignant: ergreifend
polarize: polarisieren
polemic: Polemik
ponderous: schwerfällig
pontificate: Pontifikat
porous: porös
portent: Zeichen
posterity: Nachwelt
posthumous: posthum
postulate: Postulat
posture: Haltung
pragmatic: pragmatisch
prattle: Geschwätz
precarious: prekär
precedent: Präzedenzfall
precept: Gebot
precipitate: Präzipitat
precipitous: schroffen
preclude: ausschließen
precocious: frühreif
precursor: Vorläufer
predecessor: Vorgänger
predicament: Dilemma
predilection: Vorliebe
predispose: prädisponieren
predominant: vorherrschend
preeminent: hervorragend
preempt: zuvorkommen
pregnant: schwanger
prelude: Auftakt
premeditated: vorsätzlich
premise: Prämisse
preponderance: Übergewicht
prepossess: einnehmen
prerogative: Vorrecht
presage: Vorzeichen
presentiment: Ahnung
presumably: vermutlich
presuppose: voraussetzen
prevail: herrschen
primal: ursprünglich
pristine: ursprünglich
privation: Entbehrung
proclaim: verkünden
procure: beschaffen
prodigal: verschwenderisch
prodigious: ungeheuer
prodigy: Wunder
profane: entweihen
profess: erklären
proficient: tüchtig
profligate: verschwenderisch
profound: tiefsinnig
profuse: profuse
progeny: Nachkommen
proletariat: Proletariat
proliferate: wuchern
prolific: fruchtbar
promulgate: verkünden
propagate: propagieren
propensity: Neigung
propitious: günstig
proponent: Befürworter
propound: vorlegen
proprietary: proprietären
propriety: Richtigkeit
prosaic: prosaisch
proscribe: verbieten
proselytize: bekehren
protagonist: Protagonist
protege: Protege
protocol: Protokoll
protract: verschleppen
provident: vorausschauend
provincial: provinziell
provisional: vorläufig
provocation: Provokation
prowess: Fähigkeiten
proximity: Nähe
prudent: klug
prurient: lüstern
pseudonym: Pseudonym
psyche: Psyche
pummel: eintrommeln
punctilious: peinlich genau
pundit: Pandit
pungent: scharf
punitive: strafend
purblind: halbblind
puritanical: puritanisch
putative: putativ
quaint: malerisch
qualify: qualifizieren
qualitative: qualitativ
quandary: Dilemma
quasi: Quasi
quay: Kai
quell: unterdrücken
querulous: missmutig
query: Abfrage
queue: Warteschlange
quiescent: ruhig
quintessential: fundamental
quixotic: edelmütig
quizzical: fragend
quotidian: alltäglich
ramification: Verzweigung
rampant: wuchernd
rancor: Bitterkeit
rapacious: habgierig
rapture: Entrückung
rarefied: verdünnt
ratify: ratifizieren
ratiocination: ratiocination
rationale: Gründe
raucous: heiseren
reactionary: reaktionär
rebuff: Abfuhr
rebuke: Tadel
rebut: widerlegen
recalcitrant: aufsässig
recant: widerrufen
recidivism: Rückfälligkeit
reciprocal: reziprok
reclaim: zurückfordern
reclusive: zurückgezogen
recondite: abstrus
recrimination: Gegenbeschuldigung
redeem: einlösen
redolent: duftend
redress: Wiedergutmachung
redundant: redundant
referendum: Referendum
refractory: Feuerfest
refute: widerlegen
regime: Regime
regimen: Regime
reiterate: wiederholen
relegate: verweisen
relentless: unerbittlich
relinquish: verzichten
remission: Remission
remonstrate: protestieren
remuneration: Vergütung
renaissance: Renaissance
rend: zerreißen
render: machen
renounce: verzichten
reparation: Wiedergutmachung
repartee: Schlagabtausch
repercussion: Auswirkung
replenish: ergänzen
replete: reichlich versehen
replicate: wiederholen
repose: Ruhe
reprehensible: verwerflich
repress: unterdrücken
reprimand: Verweis
reprisal: Repressalie
reproach: Vorwurf
reprobate: verkommen
reprove: tadeln
