abase: poniżać
congregate: zgromadzić się
conjecture: przypuszczenie
conjugal: małżeński
conjure: czarować
connive: pobłażać
connoisseur: koneser
consecrate: konsekrować
consensus: zgoda
conservatory: konserwatorium
consign: frachtować
consolidate: konsolidować
consonant: spółgłoska
conspicuous: rzucający się w oczy
consternation: konsternacja
constituency: okręg wyborczy
construe: interpretować
consummate: wytrawny
contempt: pogarda
contentious: kontrowersyjna
contiguous: ciągły
contingent: kontyngent
continuum: kontinuum
contraband: kontrabanda
contretemps: synkopy
contrite: skruszony
contrived: wymyślony
contumely: arogancja
conundrum: zagadka
convene: zwołać
conventional: konwencjonalny
conversant: biegły
converse: rozmawiać
convey: przenieść
conviction: przekonanie
convivial: biesiadny
convolution: splot
copious: obfity
cordial: serdeczny
corollary: następstwo
corporeal: cielesny
correlation: korelacja
corroborate: potwierdzać
corrosive: żrący
corrugated: falistej
cosmopolitan: kosmopolityczny
coterie: koteria
countenance: oblicze
coup: coup
covenant: przymierze
covert: ukryta
covet: pożądaj
cower: czołgać się
crass: tępy
craven: tchórz
credulous: łatwowierny
crescendo: crescendo
crestfallen: strapiony
crevice: rysa
cringe: warować
criterion: kryterium
critique: krytyka
crux: sedno sprawy
cryptic: tajemniczy
cuisine: kuchnia
culinary: kulinarny
cull: zerwać
culminate: zakończy
culpable: winny
curb: krawężnik
curmudgeon: mruk
cursory: pobieżny
curtail: obciąć
cynic: cynik
daunt: nastraszyć
dearth: brak
debacle: rozgromienie
debase: poniżyć
debauchery: rozpusta
debilitate: wycieńczać
debunk: demaskować
decadent: dekadencki
decimate: zdziesiątkować
decorous: przyzwoity
decree: dekret
decry: potępiać
deduce: wywnioskować
deem: uważać
defame: oczerniać
deference: poważanie
deficit: deficyt
defile: zbezcześcić
definitive: ostateczny
deft: zręczny
defunct: zlikwidowany
degenerate: zdegenerowany
degrade: degradować
deign: raczyć
deity: bóstwo
dejected: przygnębiony
delectable: przemiły
deleterious: szkodliwy
delineate: nakreślić
delinquent: przestępca
delude: łudzić
deluge: potop
delve: zagłębić
demagogue: demagog
demeanor: postawa
demise: zgon
demography: demografia
demur: sprzeciwiać się
demure: poważny
denizen: mieszkaniec
denomination: określenie
denote: oznaczać
denounce: potępiać
depict: przedstawiać
deplete: wyczerpać
deplore: ubolewać
deploy: rozmieścić
depose: zeznać że
depravity: deprawacja
deprecate: potępiać
derelict: opuszczony
deride: szydzić
derogatory: uwłaczający
desiccate: wysuszyć
desist: odstąpić
despondent: przygnębiony
despot: despota
destitute: w nędzy
desultory: chaotyczny
devout: pobożny
dexterous: zręczny
dialectical: dialektyczny
diatribe: diatryba
dichotomy: dychotomia
dictum: powiedzenie
didactic: dydaktyczny
diffident: niepewny
diffuse: rozproszonych
digress: błądzić
dilapidated: zniszczony
dilate: rozszerzać
dilemma: dylemat
dilettante: dyletant
diminution: zmniejszenie
dire: straszny
dirge: lament
disaffect: disaffect
disarray: nieład
discern: rozeznać
disclaim: zrzec się
discomfit: żenować
disconcert: zmieszać
discourse: rozprawa
discreet: dyskretny
discrepancy: rozbieżność
discrete: oddzielny
discriminate: dyskryminować
disdain: pogarda
disgruntle: disgruntle
disinformation: dezinformacja
disinterested: bezinteresowny
dismal: ponury
dismay: przerażenie
disparage: oczerniać
disparate: różny
dispassionate: beznamiętny
disperse: rozpraszać
dispirit: deprymować
disposition: usposobienie
disproportionate: nieproporcjonalny
disquiet: niepokój
dissemble: przemilczać
disseminate: rozpowszechniać
dissent: rozłam
disservice: niedźwiedzia przysługa
dissident: dysydent
dissipate: rozpraszać
dissolution: rozpad
dissuade: odwieść
distend: rozciągać
distinct: dobitny
distinguish: rozróżniać
diurnal: dzienny
divine: boski
divulge: ujawniać
docile: posłuszny
doctrinaire: doktrynerski
document: dokument
dogmatic: dogmatyczny
doldrums: chandra
doleful: płaczliwy
dolt: głupek
domestic: krajowy
dormant: uśpione
dotage: zaślepienie
double: podwójny
dour: srogi
downcast: przygnębiony
downplay: bagatelizować
draconian: drakońskie
droll: żartowniś
dross: żużel
dubious: wątpliwy
duplicity: dwulicowość
duress: przymus
ebb: odpływ
ebullient: porywczy
eccentric: ekscentryczny
ecclesiastical: kościelny
eclectic: eklektyczny
eclipse: zaćmienie
ecosystem: Ekosystem
edict: edykt
edifice: gmach
edify: pouczać
efface: wymazać
effectual: skuteczny
efficacy: skuteczność
effigy: wizerunek
effusion: wysięk
egalitarian: egalitarny
egocentric: egocentryczny
egregious: skandaliczny
elation: podniecenie
electorate: elektorat
elegy: elegia
elicit: wywołać
elite: elita
elliptical: eliptyczny
elocution: dykcja
elusive: nieuchwytny
emaciate: wycieńczać
emanate: emanować
emancipate: wyemancypować
embargo: embargo
embellish: ozdobić
embody: ucieleśniać
embroil: poróżnić
embryonic: zarodkowych
emigrate: emigrować
eminent: wybitny
emissary: emisariusz
empathy: empatia
empirical: empiryczny
empower: upoważniać
emulate: współzawodniczyć
encroach: wkraczać
endear: przywiązać
endemic: endemiczny
enervate: mdleć
enfranchise: uwalniać
engaging: ujmujący
engender: wywołać
enigma: enigma
enmity: wrogość
ennui: nuda
enormity: ogrom
ensue: wynikać
entail: pociągać za sobą
entity: jednostka
entreat: błagać
entrepreneur: przedsiębiorca
enumerate: wyliczać
envision: envision
ephemeral: efemeryczny
epicure: epikurejczyk
epigram: epigram
epilogue: epilog
epitome: skrót
epoch: epoka
equanimity: spokój umysłu
equestrian: konny
equitable: sprawiedliwy
equivocal: dwuznaczny
erudite: erudyta
esoteric: ezoteryczny
espouse: poślubić
estimable: godny szacunku
estrange: odmawiać
ethereal: eteryczny
ethics: etyka
eulogy: pochwała
euphemism: eufemizm
evanescent: zanikający
evince: przejawiać
evoke: przywołać
exacerbate: zaostrzyć
exacting: wymagający
exalt: wywyższać
exasperate: zirytować
excise: akcyza
exemplify: egzemplifikować
exempt: zwolniony
exhaustive: wyczerpujący
exhort: napominać
exhume: ekshumować
exigency: krytyczna sytuacja
existential: egzystencjalny
exodus: exodus
exonerate: oczyścić
exorbitant: wygórowany
expatriate: emigrantów
expedient: celowy
expedite: przyspieszenia
expiate: odpokutować
explicate: rozwijać
explicit: jawne
exposition: ekspozycja
expostulate: wymawiać
expunge: wykreślić
exquisite: znakomity
extant: pozostały
extol: wychwalać
extort: wymusić
extraneous: obcy
extrapolate: ekstrapolować
extremity: kraniec
extricate: wyplątać
extrovert: ekstrawertyk
exuberant: żywiołowy
exult: tryumfować
fabrication: produkcja
facade: fasada
facet: aspekt
facetious: żartobliwy
facile: łatwy
faction: odłam
fallacy: błąd
farcical: śmieszny
fastidious: wybredny
fatalist: fatalista
fathom: pojąć
fatuous: głupi
fauna: fauna
faux: faux
fawn: płowy
fecund: płodny
feign: pozorować
felicity: szczęście
fervor: zapał
fester: gnić
fetish: fetysz
fetter: kajdany
fiasco: fiasko
fiat: fiat
fickle: niestały
fidelity: wierność
figment: wymysł
figurative: graficzny
finesse: finezja
fiscal: fiskalny
flagrant: rażący
flaunt: afiszować
fledgling: Raczkujący
flippant: nonszalancki
florid: kwiecisty
flout: lekceważyć
fodder: pasza
foible: słabość
folly: szaleństwo
foment: podniecać
foray: najazd
forbear: przodek
forebode: przeczuć
foreclose: wykluczać
forego: zrzec się
forensic: sądowy
forestall: ubiec
forsake: porzucić
forswear: odprzysiąc
forte: forte
forthright: szczery
fortuitous: przypadkowy
foster: sprzyjać
founder: założyciel
fragmentary: fragmentaryczny
fraternal: braterski
frenetic: szalony
frugal: oszczędny
fruitful: owocny
fuel: paliwo
fulminate: grzmieć
furtive: ukradkowy
futile: daremny
gaffe: gafa
galvanize: elektryzować
gambit: gambit
gamut: gama
garner: spichlerz
garrulous: gadatliwy
gastronomy: gastronomia
gauche: nietaktowny
generic: rodzajowy
genesis: geneza
genocide: ludobójstwo
genre: genre
genteel: dystyngowany
germane: związany z tematem
gesticulate: gestykulować
ghastly: upiorny
glut: przesyt
grandiloquent: patetyczny
grandiose: pretensjonalny
gratis: gratis
gratuitous: bezinteresowny
gravity: grawitacja
gregarious: towarzyski
grievous: ciężki
grimace: grymas
guile: podstęp
guise: przebranie
habituate: przyzwyczaić
hackneyed: wyświechtany
halcyon: zimorodek
hapless: niefortunny
harass: nękać
harbinger: zwiastun
harp: harfa
harry: złupić
hedonism: hedonizm
hegemony: hegemonia
heinous: ohydny
herald: herold
heresy: herezja
hermetic: hermetyczny
heyday: szczyt
hiatus: rozziew
hierarchy: hierarchia
histrionic: aktorski
hoary: sędziwy
homage: hołd
homily: homilia
homogeneous: jednorodny
hubris: pycha
husbandry: uprawa roli
hyperbole: hiperbola
hypocrisy: hipokryzja
hypothetical: hipotetyczny
iconoclast: obrazoburca
ideology: ideologia
idiom: idiom
idiosyncrasy: specyfiką
idyllic: idylliczny
ignominy: hańba
illicit: nielegalny
imbue: przefarbować
immigrate: imigrować
imminent: nieuchronne
immutable: niezmienny
impartial: bezstronny
impasse: impas
impeach: zakwestionować
impeccable: bez zarzutu
impecunious: ubogi
impede: utrudniać
impending: zbliżającym
impenetrable: nieprzebity
imperative: imperatyw
imperial: cesarski
impervious: nieprzepuszczalny
impetuous: porywczy
implement: wdrożenia
implication: implikacja
importune: nagabywać
impotent: bezsilny
impoverish: zubożyć
impregnable: nie do zdobycia
impresario: impresario
impromptu: improwizacja
improvise: improwizować
impugn: zakwestionować
impunity: bezkarność
inadvertent: nieumyślne
inalienable: niezbywalny
inane: głupkowaty
inaugurate: zainaugurować
incandescent: żarowe
incantation: zaklęcie
incarnation: wcielenie
incendiary: podpalacz
incense: kadzidło
incessant: nieustanny
incipient: zaczątkowy
incisive: zjadliwy
inclination: nachylenie
incongruous: absurdalny
incorrigible: niepoprawny
increment: przyrost
inculcate: zaszczepić
incumbent: zasiedziały
incursion: najazd
indict: oskarżać
indifferent: obojętny
indigenous: rodzimy
indigent: biedny
indignant: oburzony
indolent: gnuśny
induce: prowokować
indulgent: pobłażliwy
ineffable: niewypowiedziany
ineluctable: nieuchronny
inept: niedorzeczny
ineradicable: nie do wykorzenienia
inert: obojętny
inexorable: nieubłagany
infamous: niesławny
infatuated: zakochany
infer: wywnioskować
infinitesimal: nieskończenie mały
inflammatory: zapalny
influx: napływ
infraction: naruszenie
infrastructure: infrastruktura
infringe: naruszają
infuse: zaparzać
ingenuous: naiwny
ingratiate: ciągnąć
inherent: nieodłączny
inimical: wrogi
injunction: nakaz
innate: wrodzony
innocuous: nieszkodliwy
innuendo: insynuacja
inordinate: nadmierny
inquisition: inkwizycja
insatiable: nienasycony
insidious: podstępny
insinuate: insynuować
insipid: mdły
insolent: bezczelny
insouciant: insouciant
instigate: podżegać
insufferable: nieznośny
insular: wyspiarski
insuperable: niepokonany
insurgent: powstaniec
insurrection: insurekcja
integral: integralny
integrate: integrować
interim: tymczasowy
interloper: intruz
interlude: interludium
interminable: interminable
intermittent: przerywany
intersperse: przeplatać
intervene: interweniować
intimate: intymny
intractable: trudny
intransigent: nieprzejednany
intricate: zawiły
intrigue: intryga
intrinsic: wewnętrzny
introspective: introspekcyjny
inundate: zatopić
invective: inwektywa
inveterate: nałogowy
invidious: nienawistny
inviolate: nietknięty
invoke: odwołać się
irascible: krewki
iridescent: opalizujący
ironic: ironiczny
irrevocable: nieodwołalny
itinerant: wędrowny
jargon: żargon
jaunt: wypad
jingoism: szowinizm
jocular: dowcipny
jubilation: tryumfowanie
judicious: rozsądny
junction: skrzyżowanie
junta: junta
juxtapose: zestawić ze sobą
karma: karma
kinetic: kinetyczny
labyrinth: labirynt
laconic: lakoniczny
lament: lament
lampoon: paszkwil
languish: pokutować
larceny: kradzież
largess: hojność
lascivious: lubieżny
latent: utajony
laud: chwalić
lavish: rozrzutny
lax: niedbały
layman: laik
legacy: dziedzictwo
lethargy: letarg
levity: lekkomyślność
liaison: łączność
libel: pomówienie
licentious: rozwiązły
limpid: przezroczysty
listless: apatyczny
litany: litania
litigate: procesować się
livid: wściekły
loath: niechętny
lobby: lobby
loquacious: gadatliwy
lout: prostak
lucid: klarowny
ludicrous: śmieszny
lugubrious: ponury
luminous: świetlny
lyrical: liryczny
machination: intryga
magnanimous: wielkoduszny
magnate: magnat
malaise: złe samopoczucie
malapropism: malapropizm
malfeasance: wykroczenia
malignant: złośliwy
malinger: udać chorego
malleable: ciągliwy
mandate: mandat
mania: mania
manifest: manifestować
manifesto: manifest
marginal: marginalny
marshal: marszałek
martial: wojenny
martyr: męczennik
materialistic: materialistyczny
matriculate: immatrykulować
maudlin: ckliwy
maverick: politycznie niezależny
mawkish: ckliwy
maxim: maksyma
meander: meandry
mediate: pośredniczyć
medium: średni
melancholy: melancholia
melee: melee
mellifluous: miodopłynny
menagerie: menażeria
mendacious: kłamliwy
mendicant: żebrak
mentor: mentor
mercenary: najemnik
mercurial: bystry
metamorphosis: metamorfoza
meticulous: skrupulatny
microcosm: mikrokosmos
milieu: środowisko
millennium: tysiąclecie
miniscule: malutkie
mire: błoto
misanthropic: mizantropijny
mitigate: złagodzić
mode: tryb
modulate: modulować
mollify: łagodzić
momentum: pęd
monolithic: monolityczny
moratorium: moratorium
mores: obyczaje
moribund: konający
morose: posępny
mortify: umartwiać
motif: motyw
motley: pstrokacizna
mundane: doczesny
municipal: komunalnych
munificent: hojny
muse: muza
muster: skrzyknąć
myopia: krótkowzroczność
myriad: miriada
mystic: mistyk
narcissism: narcyzm
nebulous: mglisty
nefarious: nikczemny
nemesis: Nemezys
neologism: neologizm
neophyte: neofita
nepotism: nepotyzm
nihilism: nihilizm
nirvana: nirwana
noisome: cuchnący
nomadic: koczowniczy
nomenclature: nomenklatura
nominal: nominalny
nonchalant: nonszalancki
nostalgia: nostalgia
notorious: notoryczny
novel: powieść
noxious: szkodliwy
nuance: niuans
nullify: unieważnić
obdurate: nieczuły
obeisance: hołd
obfuscate: zaciemniać
objective: cel
oblique: ukośny
oblivion: zapomnienie
obscure: niejasny
obsequious: służalczy
obtrusive: natrętny
obtuse: tępy
obviate: zapobiec
occult: okultystyczny
odious: ohydny
odyssey: odyseja
officious: nadgorliwy
olfactory: węchowy
oligarchy: oligarchia
ominous: złowrogi
omniscient: wszechwiedzący
onerous: uciążliwy
opaque: nieprzezroczysty
opprobrious: obraźliwy
opulent: bogaty
ordinance: rozporządzenie
orthodox: ortodoksyjny
oscillate: oscylować
osmosis: osmoza
ostensible: pozorny
ostentatious: ostentacyjny
ostracize: wykluczać z towarzystwa
oust: wyrugować
override: nadpisanie
overture: uwertura
oxymoron: oksymoron
pacify: spacyfikować
painstaking: benedyktyński
palatable: smaczny
palliate: łagodzić
pallor: bladość
palpable: namacalny
paltry: marny
panacea: panaceum
pandemic: pandemiczny
panegyric: panegiryk
parable: przypowieść
paradigm: paradygmat
paradox: paradoks
paragon: wzór doskonałości
parallel: równoległy
paranoia: paranoja
paranormal: paranormal
parochial: parafialny
parody: parodia
paroxysm: paroksyzm
parsimonious: oszczędny
partisan: partyzant
partition: przegroda
pastoral: pastoralny
patent: patent
paternal: ojcowski
pathology: patologia
pathos: patos
patina: patyna
patriarch: patriarcha
patrician: patrycjusz
patrimony: ojcowizna
patronize: patronować
paucity: niedostatek
peccadillo: grzeszek
peculiar: osobliwy
pedantic: pedantyczny
pedestrian: pieszy
pejorative: pejoratywny
penchant: upodobanie
penitent: penitent
pensive: zamyślony
peregrination: wędrówka
peremptory: apodyktyczny
perennial: bylina
perfidy: perfidia
perfunctory: powierzchowny
peripatetic: wędrowny
periphery: peryferia
perjury: krzywoprzysięstwo
permeate: przenikać
pernicious: zgubny
perpetrator: sprawca
perpetuate: uwiecznić
perquisite: napiwek
pertinent: trafny
perturb: zaburzyć
peruse: przeczytać uważnie
pervade: przesiąknąć
perverse: przewrotny
petulant: rozdrażniony
phantasm: przywidzenie
philanthropy: filantropia
philistine: filister
phlegmatic: flegmatyczny
pilgrimage: pielgrzymka
pious: pobożny
pivotal: kluczowy
placate: ułagodzić
placebo: placebo
plaintive: żałosny
platitude: frazes
platonic: platonicznej
plausible: wiarygodny
plebeian: plebejski
plethora: nadmiar
pliable: giętki
plight: sytuacja
plunder: grabież
pluralism: pluralizm
poignant: wzruszający
polarize: polaryzować
polemic: polemiczny
ponderous: ociężały
pontificate: pontyfikat
porous: porowaty
portent: przepowiednia
posterity: potomność
posthumous: pośmiertny
postulate: postulat
posture: postawa
pragmatic: pragmatyczny
prattle: paplanina
precarious: niepewny
precedent: precedens
precept: przykazanie
precipitate: wytrącać
precipitous: urwisty
preclude: wykluczać
precocious: przedwczesny
precursor: prekursor
predecessor: poprzednik
predicament: kłopot
predilection: predylekcja
predispose: predysponować
predominant: dominujący
preeminent: wybitny
preempt: nabyć w drodze pierwokupu
pregnant: w ciąży
prelude: preludium
premeditated: dokonany z premedytacją
premise: przesłanka
preponderance: przewaga
prepossess: owładnąć
prerogative: przywilej
presage: zapowiadać
presentiment: przeczucie
presumably: przypuszczalnie
presuppose: implikować
prevail: dominować
primal: pierwotny
pristine: dziewiczy
privation: niedostatek
proclaim: głosić
procure: postarać się
prodigal: marnotrawny
prodigious: cudowny
prodigy: Prodigy
profane: bezcześcić
profess: wyznać
proficient: biegły
profligate: rozrzutny
profound: głęboki
profuse: obfity
progeny: potomstwo
proletariat: proletariat
proliferate: rozmnażać się
prolific: płodny
promulgate: ogłosić
propagate: propagować
propensity: skłonność
propitious: sprzyjający
proponent: zwolennik
propound: wysunąć
proprietary: własność
propriety: przyzwoitość
prosaic: prozaiczny
proscribe: zakazać
proselytize: nawracać
protagonist: protagonista
protege: protegowany
protocol: protokół
protract: przedłużać
provident: przewidujący
provincial: prowincjonalny
provisional: tymczasowy
provocation: prowokacja
prowess: dzielność
proximity: bliskość
prudent: ostrożny
prurient: lubieżny
pseudonym: pseudonim
psyche: psyche
pummel: okładać pięściami
punctilious: pedantyczny
pundit: mędrzec hinduski
pungent: gryzący
punitive: karzący
purblind: przyślepy
puritanical: purytański
putative: domniemany
quaint: ciekawy
qualify: kwalifikować
qualitative: jakościowy
quandary: kłopot
quasi: prawie
quay: molo
quell: stłumić
querulous: narzekający
query: pytanie
queue: kolejka
quiescent: spokojny
quintessential: Kwintesencja
quixotic: donkiszotowski
quizzical: dziwaczny
quotidian: codzienny
ramification: rozgałęzienie
rampant: nieokiełznany
rancor: żal
rapacious: drapieżny
rapture: zachwyt
rarefied: rozrzedzone
ratify: ratyfikować
ratiocination: ratiocination
rationale: racjonalne uzasadnienie
raucous: ochrypły
reactionary: reakcyjny
rebuff: odprawa
rebuke: nagana
rebut: obalić
recalcitrant: oporny
recant: wyrzec się
recidivism: recydywa
reciprocal: wzajemny
reclaim: odzyskać
reclusive: samotnikiem
recondite: mało znany
recrimination: rekryminacja
redeem: wykupić
redolent: wonny
redress: zadośćuczynienia
redundant: zbędny
referendum: referendum
refractory: ogniotrwałe
refute: obalić
regime: reżim
regimen: reżim
reiterate: powtarzać
relegate: skierować
relentless: bezwzględny
relinquish: zrzec się
remission: remisja
remonstrate: protestować
remuneration: wynagrodzenie
renaissance: renesans
rend: rozdzierać
render: renderowanie
renounce: zrzec się
reparation: naprawa
repartee: riposta
repercussion: następstwo
replenish: uzupełniać
replete: nasycony
replicate: replikować
repose: pokładać
reprehensible: naganny
repress: stłumić
reprimand: nagana
reprisal: akcja odwetowa
reproach: wyrzut
reprobate: potępiony
reprove: ganić
repudiate: odrzucać
repugnant: odrażający
requisite: wymagany
resignation: rezygnacja
resolute: stanowczy
respite: wytchnienie
resplendent: olśniewający
resurrection: wskrzeszenie
reticent: małomówny
retort: riposta
retrospect: retrospekcja
revamp: reorganizacji
revel: biesiada
revere: czcić
revile: lżyć
revulsion: wstręt
rhapsodize: wyrazić głośny zachwyt
rhetoric: retoryka
ribald: rubaszny
rife: rozpowszechniony
rigorous: rygorystyczny
rivet: nit
robust: krzepki
rogue: łobuz
rout: pogrom
