abase: стихать
faux: Искусственные
fawn: олененок
fecund: плодородный
feign: симулировать
felicity: счастье
fervor: пыл
fester: гноиться
fetish: фетиш
fetter: оковы
fiasco: фиаско
fiat: указ
fickle: непостоянный
fidelity: верность
figment: вымысел
figurative: образный
finesse: тонкость
fiscal: финансовый
flagrant: вопиющий
flaunt: выставлять напоказ
fledgling: молодой
flippant: легкомысленный
florid: витиеватый
flout: попирать
fodder: корм
foible: слабость
folly: глупость
foment: разжигать
foray: набег
forbear: воздерживаться
forebode: предвещать
foreclose: исключать
forego: отказываться
forensic: судебный
forestall: предупреждать
forsake: оставить
forswear: зарекаться
forte: форте
forthright: прямой
fortuitous: случайно
foster: способствовать
founder: основатель
fragmentary: фрагментарный
fraternal: братский
frenetic: неистовый
frugal: скромный
fruitful: плодотворный
fuel: топливо
fulminate: громить
furtive: скрытый
futile: бесполезный
gaffe: оплошность
galvanize: гальванизировать
gambit: гамбит
gamut: гамма
garner: амбар
garrulous: болтливый
gastronomy: гастрономия
gauche: неловкий
generic: общий
genesis: генезис
genocide: геноцид
genre: жанр
genteel: благовоспитанный
germane: релевантный
gesticulate: жестикулировать
ghastly: ужасно
glut: перенасыщение
grandiloquent: высокопарный
grandiose: грандиозный
gratis: бесплатно
gratuitous: безвозмездный
gravity: сила тяжести
gregarious: общительный
grievous: тяжкий
grimace: гримаса
guile: коварство
guise: облик
habituate: приучать
hackneyed: избитый
halcyon: зимородок
hapless: незадачливый
harass: изводить
harbinger: предвестник
harp: арфа
harry: Гарри
hedonism: гедонизм
hegemony: гегемония
heinous: гнусный
herald: вестник
heresy: ересь
hermetic: герметический
heyday: расцвет
hiatus: пробел
hierarchy: иерархия
histrionic: наигранный
hoary: седой
homage: дань
homily: проповедь
homogeneous: однородный
hubris: высокомерие
husbandry: земледелие
hyperbole: гипербола
hypocrisy: лицемерие
hypothetical: гипотетический
iconoclast: бунтарь
ideology: идеология
idiom: идиома
idiosyncrasy: идиосинкразия
idyllic: идиллический
ignominy: позор
illicit: незаконный
imbue: внушить
immigrate: иммигрировать
imminent: неизбежный
immutable: неизменный
impartial: беспристрастный
impasse: тупик
impeach: оспаривать
impeccable: безупречный
impecunious: безденежный
impede: препятствовать
impending: надвигающейся
impenetrable: непроницаемый
imperative: императив
imperial: имперский
impervious: непроницаемый
impetuous: стремительный
implement: воплощать в жизнь
implication: вывод
importune: докучать
impotent: импотент
impoverish: обеднять
impregnable: неприступный
impresario: импресарио
impromptu: экспромт
improvise: импровизировать
impugn: оспаривать
impunity: безнаказанность
inadvertent: ненамеренный
inalienable: неотъемлемое
inane: бессмысленный
inaugurate: открывать
incandescent: лампа накаливания
incantation: заклинание
incarnation: воплощение
incendiary: зажигательный
incense: ладан
incessant: непрекращающийся
incipient: зарождающийся
incisive: острый
inclination: склонность
incongruous: несоответственный
incorrigible: неисправимый
increment: приращение
inculcate: прививать
incumbent: возложенный
incursion: вторжение
indict: обвинять
indifferent: в различных
indigenous: местный
indigent: неимущий
indignant: возмущены
indolent: ленивый
induce: вызывать
indulgent: снисходительный
ineffable: невыразимый
ineluctable: неизбежный
inept: неподходящий
ineradicable: неистребима
inert: инертный
inexorable: неумолимый
infamous: позорный
infatuated: увлечен
infer: делать вывод
infinitesimal: бесконечно малый
inflammatory: воспалительный
influx: приток
infraction: нарушение
infrastructure: инфраструктура
infringe: нарушать
infuse: настаиваться
ingenuous: простодушный
ingratiate: снискать расположение
inherent: присуща
inimical: враждебна
injunction: предписание
innate: врожденный
innocuous: безобидный
innuendo: инсинуация
inordinate: чрезмерный
inquisition: инквизиция
insatiable: ненасытный
insidious: коварный
insinuate: намекать
insipid: пресный
insolent: наглый
insouciant: беспечный
instigate: подстрекать
insufferable: невыносимый
insular: островной
insuperable: непреодолимым
insurgent: повстанец
insurrection: восстание
integral: интеграл
integrate: интегрировать
interim: промежуточный
interloper: человек, вмешивающийся в чужие дела
interlude: интерлюдия
interminable: бесконечный
intermittent: прерывистый
intersperse: пересыпать
intervene: вмешиваться
intimate: интимный
intractable: неподатливый
intransigent: непримиримый
intricate: запутанный
intrigue: интрига
intrinsic: внутренняя
introspective: интроспективный
inundate: наводнять
invective: брань
inveterate: заядлый
invidious: возмутительный
inviolate: неприкосновенными
invoke: вызывать
irascible: вспыльчивый
iridescent: радужный
ironic: ирония
irrevocable: безотзывный
itinerant: странствующий
jargon: жаргон
jaunt: прогулка
jingoism: ура-патриотизм
jocular: шутливый
jubilation: ликование
judicious: рассудительный
junction: переход
junta: хунта
juxtapose: сопоставлять
karma: карма
kinetic: кинетический
labyrinth: лабиринт
laconic: лаконичный
lament: сетовать
lampoon: пасквиль
languish: томиться
larceny: воровство
largess: щедрость
lascivious: похотливый
latent: скрытая
laud: хвалить
lavish: щедрый
lax: слабый
layman: мирянин
legacy: наследие
lethargy: вялость
levity: легкомыслие
liaison: связь
libel: клевета
licentious: распущенный
limpid: прозрачный
listless: вялый
litany: литания
litigate: судиться
livid: синевато-багровый
loath: хотелось
lobby: лобби
loquacious: словоохотливый
lout: хам
lucid: ясный
ludicrous: смешно
lugubrious: печальный
luminous: светящийся
lyrical: лирический
machination: махинация
magnanimous: великодушный
magnate: магнат
malaise: недомогание
malapropism: неправильное употребление слов
malfeasance: злодеяние
malignant: злокачественный
malinger: симулировать болезнь
malleable: податливый
mandate: мандат
mania: мания
manifest: манифест
manifesto: манифест
marginal: маргинальный
marshal: маршал
martial: военный
martyr: мученик
materialistic: материалистический
matriculate: принятый в вуз
maudlin: плаксивый
maverick: индивидуалист
mawkish: слащавый
maxim: Максим
meander: меандр
mediate: посредничать
medium: средний
melancholy: меланхолия
melee: рукопашная
mellifluous: сладкозвучный
menagerie: зверинец
mendacious: лживый
mendicant: нищий
mentor: наставник
mercenary: наемник
mercurial: ртутный
metamorphosis: метаморфоза
meticulous: дотошный
microcosm: микрокосм
milieu: обстановка
millennium: тысячелетие
miniscule: незначительный
mire: грязь
misanthropic: человеконенавистнический
mitigate: смягчать
mode: Режим
modulate: модулировать
mollify: смягчать
momentum: импульс
monolithic: монолитный
moratorium: мораторий
mores: нравы
moribund: умирающий
morose: угрюмый
mortify: смирять
motif: лейтмотив
motley: пестрый
mundane: мирской
municipal: муниципальный
munificent: необычайно щедрый
muse: муза
muster: собирать
myopia: близорукость
myriad: мириады
mystic: мистика
narcissism: самовлюбленность
nebulous: туманный
nefarious: гнусный
nemesis: возмездие
neologism: неологизм
neophyte: неофит
nepotism: непотизм
nihilism: нигилизм
nirvana: нирвана
noisome: вонючий
nomadic: кочевой
nomenclature: номенклатура
nominal: номинальный
nonchalant: беспечный
nostalgia: ностальгия
notorious: печально известный
novel: роман
noxious: вредный
nuance: нюанс
nullify: аннулировать
obdurate: упрямый
obeisance: почтение
obfuscate: затемнять
objective: задача
oblique: косой
oblivion: забвение
obscure: неясный
obsequious: раболепный
obtrusive: навязчивый
obtuse: тупой
obviate: устранять
occult: оккультный
odious: одиозный
odyssey: Одиссея
officious: официозный
olfactory: обонятельный
oligarchy: олигархия
ominous: зловещий
omniscient: всезнающий
onerous: обременительный
opaque: непрозрачный
opprobrious: оскорбительный
opulent: богатый
ordinance: постановление
orthodox: православный
oscillate: колебаться
osmosis: осмос
ostensible: мнимый
ostentatious: показной
ostracize: подвергать остракизму
oust: вытеснять
override: переопределение
overture: увертюра
oxymoron: оксюморон
pacify: усмирить
painstaking: кропотливый
palatable: приятный
palliate: облегчать
pallor: бледность
palpable: ощутимая
paltry: ничтожные
panacea: панацея
pandemic: пандемия
panegyric: панегирик
parable: притча
paradigm: парадигма
paradox: парадокс
paragon: образец
parallel: параллельно
paranoia: паранойя
paranormal: Паранормальное явление
parochial: местнический
parody: пародия
paroxysm: пароксизм
parsimonious: скупой
partisan: партизан
partition: раздел
pastoral: пастораль
patent: патент
paternal: отцовской
pathology: патология
pathos: пафос
patina: патина
patriarch: патриарх
patrician: патриций
patrimony: вотчина
patronize: покровительствовать
paucity: малочисленность
peccadillo: грешок
peculiar: своеобразный
pedantic: педантичный
pedestrian: пешеход
pejorative: уничижительный
penchant: склонность
penitent: кающийся
pensive: задумчивый
peregrination: странствие
peremptory: безапелляционный
perennial: постоянный
perfidy: вероломство
perfunctory: поверхностный
peripatetic: странствующий
periphery: периферия
perjury: лжесвидетельство
permeate: проникать
pernicious: пагубный
perpetrator: преступник
perpetuate: увековечивать
perquisite: приработок
pertinent: уместный
perturb: возмущать
peruse: просмотреть
pervade: проникать
perverse: извращенный
petulant: раздражительный
phantasm: призрак
philanthropy: филантропия
philistine: обыватель
phlegmatic: флегматичный
pilgrimage: паломничество
pious: благочестивый
pivotal: основной
placate: умиротворять
placebo: плацебо
plaintive: жалобный
platitude: банальность
platonic: платоническая
plausible: правдоподобный
plebeian: плебей
plethora: изобилие
pliable: гибким
plight: положение
plunder: грабеж
pluralism: плюрализм
poignant: острый
polarize: поляризовать
polemic: полемика
ponderous: тяжеловесный
pontificate: понтификат
porous: пористый
portent: знамение
posterity: потомство
posthumous: посмертный
postulate: постулат
posture: поза
pragmatic: прагматический
prattle: лепет
precarious: сомнительный
precedent: прецедент
precept: предписание
precipitate: осадок
precipitous: обрывистый
preclude: препятствовать
precocious: скороспелый
precursor: предшественник
predecessor: предшественник
predicament: затруднительное положение
predilection: пристрастие
predispose: предрасполагать
predominant: преобладающий
preeminent: выдающийся
preempt: упредить
pregnant: беременная
prelude: прелюдия
premeditated: преднамеренный
premise: предпосылка
preponderance: перевес
prepossess: внушать
prerogative: прерогатива
presage: предвещать
presentiment: предчувствие
presumably: предположительно
presuppose: заключать в себе
prevail: преобладать
primal: первобытный
pristine: древний
privation: лишения
proclaim: провозглашать
procure: закупать
prodigal: расточительный
prodigious: удивительный
prodigy: чудо
profane: светский
profess: исповедовать
proficient: опытный
profligate: распутник
profound: глубокий
profuse: обильное
progeny: потомство
proletariat: пролетариат
proliferate: распространяться
prolific: плодовитый
promulgate: обнародовать
propagate: распространяться
propensity: склонность
propitious: благоприятный
proponent: сторонник
propound: выдвигать
proprietary: патентованный
propriety: уместность
prosaic: прозаический
proscribe: запрещать
proselytize: обращать в свою веру
protagonist: главный герой
protege: протеже
protocol: протокол
protract: затягивать
provident: предусмотрительный
provincial: провинциальный
provisional: предварительный
provocation: провокация
prowess: доблесть
proximity: близость
prudent: благоразумный
prurient: похотливый
pseudonym: псевдоним
psyche: душа
pummel: бить
punctilious: педантичный
pundit: ученый муж
pungent: острый
punitive: карательный
purblind: подслеповатый
puritanical: пуританский
putative: предполагаемый
quaint: причудливый
qualify: квалифицировать
qualitative: качественный
quandary: затруднительное положение
quasi: квази
quay: набережная
quell: подавлять
querulous: ворчливый
query: запрос
queue: очередь
quiescent: неподвижный
quintessential: наиболее существенный
quixotic: донкихотский
quizzical: насмешливый
quotidian: ежедневный
ramification: ветвление
rampant: безудержный
rancor: злопамятность
rapacious: хищный
rapture: восторг
rarefied: разреженный
ratify: ратифицировать
ratiocination: логическое рассуждение с использованием силлогизмов
rationale: обоснование
raucous: хриплый
reactionary: реакционер
rebuff: отпор
rebuke: упрек
rebut: опровергать
recalcitrant: непокорный
recant: отрекаться
recidivism: рецидив
reciprocal: взаимная
reclaim: истребовать
reclusive: затворник
recondite: малопонятный
recrimination: взаимные обвинения
redeem: выкупать
redolent: благоухающий
redress: возмещение
redundant: излишним
referendum: референдум
refractory: огнеупорный
refute: опровергать
regime: режим
regimen: режим
reiterate: подтвердить
relegate: относить
relentless: неустанный
relinquish: отказываться
remission: ремиссия
remonstrate: увещевать
remuneration: вознаграждение
renaissance: Ренессанс
rend: рвать
render: оказывать
renounce: отказываться от
reparation: возмещение
repartee: остроумный ответ
repercussion: последствия
replenish: пополнять
replete: изобилует
replicate: копировать
repose: отдохнуть
reprehensible: достойный порицания
repress: подавлять
reprimand: выговор
reprisal: расправа
reproach: упрек
reprobate: отверженный
reprove: обличай
repudiate: отрекаться
repugnant: противно
requisite: реквизит
resignation: отставка
resolute: решительный
respite: отсрочка
resplendent: блистательный
resurrection: воскрешение
reticent: скрытный
retort: реторта
retrospect: взгляд в прошлое
revamp: Реконструкция
revel: упиваться
revere: почитать
revile: поносить
revulsion: отвращение
rhapsodize: говорить напыщенно
rhetoric: риторика
ribald: непристойный
rife: изобилующий
rigorous: тщательный
rivet: заклепка
robust: крепкий
rogue: Изгой
rout: разгром
rudimentary: рудиментарный
rue: рута
ruminate: размышлять
rustic: деревенский
saccharine: сахарин
sacrilege: святотатство
sacrosanct: священны
sagacious: проницательный
salient: выступ
sally: Салли
salutary: благотворное
salutation: приветствие
sanctimonious: лицемерный
sanction: санкция
sanguine: сангвинический
sarcasm: сарказм
sardonic: сардонический
savant: ученый
scant: скудный
schism: раскол
scintillate: сверкать
scorn: презрение
scrupulous: скрупулезный
scrutinize: изучать
seamless: бесшовный
secede: отделяться
seclusion: уединение
sect: секта
secular: светский
sedentary: сидячий
sedition: крамола
segregate: отделять
self-made: ручной работы
sensory: сенсорный
sententious: нравоучительный
sentient: разумное существо
sequester: секвестр
serendipity: интуитивная прозорливость
serene: безмятежный
serpentine: змеевик
servile: рабский
shackle: скоба
shibboleth: шибболет
shrewd: проницательный
singular: единственное число
sinister: зловещий
skirmish: перестрелка
skittish: пугливый
slake: утолять жажду
slander: клевета
sloth: ленивец
sobriety: трезвость
solace: утешение
solidarity: солидарность
solvent: растворитель
soporific: снотворное
sordid: противный
sovereign: суверенное
spate: поток
spawn: порождать
specious: благовидный
specter: призрак
spectrum: спектр
sporadic: спорадический
spurious: ложный
spurn: отталкивать
squalor: убожество
squander: растрата
stagnation: застой
stalwart: рослый
stark: абсолютный
static: статический
staunch: стойкий
steadfast: стойкий
stigmatize: клеймить
stint: ограничение
stipend: стипендия
stipulate: оговаривать
stoic: стоик
stolid: флегматичный
stout: толстый
stratagem: хитрость
stratum: слой
stricture: стриктура
strife: борьба
stringent: строгими
stupendous: изумительный
stupor: ступор
stymie: загнать в угол
subjugate: подчинять
sublime: возвышенный
subordinate: подчиненный
subside: утихать
subsidiary: дочернее предприятие
subsidize: субсидировать
substantiate: обосновывать
substantive: основной
subterfuge: увертка
subtle: тонкий
subversive: подрывной
succinct: сжатый
