abase: ถ่อมตัว
antipodal: ตรงกันข้ามกับเท้า
antiquity: สมัยโบราณ
antithesis: สิ่งที่ตรงกันข้าม
apartheid: การแบ่งแยกสีผิว
apathy: ความไม่แยแส
aperture: รูรับแสง
apex: ปลาย
aphorism: พังเพย
apocalypse: คัมภีร์ของศาสนาคริสต์
apocryphal: ไม่มีลักฐาน
apogee: สุดยอด
apoplexy: โรคลมชัก
apostasy: การละทิ้งศาสนา
apotheosis: ถวายพระเกียรติ
appalling: น่ากลัว
apparition: ผี
appease: เอาใจ
appellation: นาม
appendage: รยางค์
apportion: แบ่งปัน
apposite: เหมาะเจาะ
appraise: ประเมิน
appreciate: ขอขอบคุณ
apprehensive: เกรงกลัว
apprise: บอก
approbation: การอนุมัติ
appropriate: เหมาะสม
appurtenance: การต่อเนื่อง
apropos: ในเรื่อง
apt: ฉลาด
aptitude: ความถนัด
arbiter: ผู้ตัดสิน
arbitrary: โดยพลการ
arcade: อาเขต
arcane: ความลับ
archaic: โบราณ
archetype: แม่แบบ
archipelago: หมู่เกาะ
archives: หอจดหมายเหตุ
ardent: กระตือรือร้น
arduous: ลำบาก
arid: แห้งแล้ง
aristocratic: ชนชั้นสูง
armament: อาวุธยุทธภัณฑ์
armistice: การพักรบ
arraign: ฟ้องร้อง
arrant: ร้ายกาจ
arrears: งานที่ค้าง
arsenal: คลังแสง
artful: เก่ง
articulate: เป็นปล้อง
artifice: อุบาย
artisan: ช่าง
ascendancy: อำนาจวาสนา
ascertain: สืบหา
ascetic: นักพรต
ascribe: อ้าง
askance: ด้วยความสงสัย
aspersion: การใส่ร้าย
assail: ทำร้าย
assert: ยืนยัน
assess: ประเมินผล
assiduous: ขยันหมั่นเพียร
assimilate: ดูดซึม
assuage: ระงับ
astringent: ฝาด
astute: ชาญฉลาด
asylum: ที่ลี้ภัย
atheist: พระเจ้า
atone: ชดเชย
atrophy: ฝ่อ
attest: ยืนยัน
attribute: แอตทริบิวต์
attrition: การขัดสี
audacity: ความกล้า
augment: ขยาย
augur: ทำนาย
august: สิงหาคม
auspices: การอุปถัมภ์
auspicious: ฤกษ์งามยามดี
austere: เคร่งครัด
autocratic: เผด็จการ
autonomous: อิสระ
auxiliary: ผู้ช่วย
avail: ประโยชน์
avant-garde: เปรี้ยวจี๊ด
avarice: ความโลภ
aversion: ความเกลียดชัง
avert: หลีกเลี่ยง
avid: มักมาก
avow: รับสารภาพ
avuncular: avuncular
awry: เป๋
axiom: ความจริง
bacchanal: คนเสเพล
baleful: ร้ายกาจ
balk: หยุดชะงัก
ballyhoo: การป่าวประกาศอย่างโครมคราม
balm: ยาหม่อง
banal: ดาษดื่น
bandy: โต้ตอบ
bane: สารพิษ
banter: ล้อเล่น
baroque: ตามแบบบะโรค
barrage: เขื่อนกั้นน้ำ
bastion: ป้อมปราการ
bauble: ของเด็กเล่น
bedlam: โรงพยาบาลบ้า
beget: ก่อให้เกิด
begrudge: บ่นว่า
behest: คำสั่ง
belabor: เหยียดหยาม
beleaguer: ล้อม
belie: ปฏิเสธ
belittle: พูดดูถูก
belligerent: ที่ทำสงคราม
bemoan: รำพึงรำพัน
bemused: ตะลึง
benediction: พร
benefactor: ผู้มีบุญคุณ
benevolent: มีเมตตา
benighted: โง่
benign: อ่อนโยน
bequest: มรดก
bereaved: ปลิดชีพ
beset: รุมเร้า
bestow: ประทาน
bilious: เกี่ยวกับน้ำดี
bivouac: การพักแรม
blanch: ฟอกให้ขาว
bland: อ่อนโยน
blandishment: คำป้อยอ
blasphemy: การดูหมิ่น
blatant: ดัง
blight: ทำลาย
bliss: ความสุข
blithe: ร่าเริง
bluster: ยกตนข่มท่าน
bombast: คำพูดรื่นหู
boon: ประโยชน์
boor: คนบ้านนอก
booty: โจร
botch: เพลี่ยงพล้ำ
bourgeois: เกี่ยวกับชนชั้นกลาง
bovine: ดื้อ
bracing: สดชื่น
brandish: แกว่ง
bravado: ความองอาจ
brawn: กล้ามเนื้อ
brazen: ทำด้วยทองเหลือง
breach: ช่องโหว่
brevity: ความกะทัดรัด
brink: ปาก
bristle: โกรธ
broach: เจาะ
bromide: โบรไมด์
brouhaha: brouhaha
brusque: ผลุนผลัน
bucolic: เกี่ยวกับคนบ้านนอก
buffoon: ตัวตลก
bulwark: ป้อมปราการ
bureaucracy: การปกครองระบบเจ้าขุนมูลนาย
burgeon: ออกดอก
burlesque: ล้อเลียน
byzantine: ไบเซนไทน์
cabal: แผนลับ
cache: แคช
cacophony: เสียงขรม
cadence: จังหวะ
cajole: หว่านล้อม
calamity: ภัยพิบัติ
callous: ใจแข็ง
callow: หนุ่มสาว
calumny: การใส่ร้าย
candor: น้ำใสใจจริง
canon: ศีล
cant: ลาด
canvass: ถามสารทุกข์สุขดิบ
capacious: จุ
capital: เมืองหลวง
capitalism: ระบบทุนนิยม
capitulate: ยอมจำนน
capricious: ตามอำเภอใจ
captivate: จับใจ
carcinogenic: สารก่อมะเร็ง
cardinal: พระราชาคณะ
careen: เท่
caricature: การ์ตูนล้อเลียน
cartography: วิชาเขียนแผนที่
cascade: น้ำตก
castigate: ลงโทษ
cataclysm: น้ำท่วม
catalyst: ตัวเร่ง
categorical: เด็ดขาด
catharsis: ท้อง
catholic: คาทอลิก
caucus: คองเกรส
caustic: กัดกร่อน
cavalier: ขุนนาง
cavil: ค่อนแคะ
celibacy: พรหมจรรย์
censure: การตำหนิ
cerebral: เกี่ยวกับมันสมอง
chaff: แกลบ
chagrin: ความผิดหวัง
chameleon: กิ้งก่า
champion: แชมป์
channel: ช่อง
charisma: ความสามารถพิเศษ
charlatan: คนปลิ้นปล้อน
chasm: ช่องว่าง
chaste: บริสุทธิ์
chastise: ลงโทษ
cherub: เด็กน่าเอ็นดู
chicanery: หาเรื่อง
chimera: ความฝัน
choleric: เจ้าอารมณ์
chortle: ฮา
chronic: เรื้อรัง
chronicle: ประวัติการณ์
churl: คนหน้างอ
chutzpah: ทะลึ่ง
cipher: ตัวเลข
circuitous: วกวน
circumlocution: การพูดอ้อม
circumnavigate: แล่นเรือรอบโลก
circumscribe: จำกัด วง
circumspect: ระมัดระวัง
circumvent: ใช้อุบายดัก
citadel: ป้อมปราการ
civil: พลเรือน
clandestine: ลับ
classic: คลาสสิก
cleave: แล่ง
clemency: ความเมตตากรุณา
cliche: ถ้อยคำที่เบื่อหู
climatic: ภูมิอากาศ
clique: ก๊ก
cloister: กุฏิ
clone: โคลน
clout: อิทธิพล
cloy: ป้อยอ
coalesce: เชื่อมต่อกัน
coddle: ประคบประหงม
coerce: บีบบังคับ
cogent: ตรงจุด
cogitate: ไตร่ตรอง
cognitive: องค์ความรู้
cognizant: เอาธุระ
coherent: เชื่อมโยงกัน
cohort: หมู่คน
colloquial: เกี่ยวกับภาษาพูด
collusion: สมรู้ร่วมคิด
commemorate: เป็นอนุสรณ์
commensurate: พอสมน้ำสมเนื้อ
commiserate: เห็นอกเห็นใจ
commodious: กว้างขวาง
compatible: ที่เข้ากันได้
compelling: ที่น่าสนใจ
compendium: หัวข้อ
competent: มีอำนาจ
compile: รวบรวม
complacent: อิ่มเอมใจ
complement: ส่วนประกอบ
complicity: การสมรู้ร่วมคิด
comply: ปฏิบัติตาม
composed: ประกอบด้วย
comprehensive: ครอบคลุม
comprise: ประกอบด้วย
compromise: ประนีประนอม
compunction: ความเวทนา
concave: เว้า
concede: ยอมรับ
concentric: ศูนย์กลาง
concert: คอนเสิร์ต
conciliatory: ซึ่งประนีประนอมกัน
concise: กระชับ
concoct: กุเรื่อง
concomitant: ไปด้วยกัน
concord: ความสงบเรียบร้อย
concurrent: พร้อมกัน
condescend: ก้มลงมา
condone: ไม่เอาผิด
conducive: เอื้อ
confederate: ร่วมใจกัน
confer: หารือ
confidant: คนสนิท
configuration: การกำหนดค่า
conflagration: อัคคีภัย
confluence: ที่บรรจบกัน
confound: ขอให้ฉิบหาย
congeal: ทำให้เป็นวุ้น
congenial: ถูกใจ
congenital: แต่กำเนิด
congregate: ชุมนุมกัน
conjecture: การคาดคะเน
conjugal: เกี่ยวกับการสมรส
conjure: ปลุกผี
connive: สมยอม
connoisseur: นักเลง
consecrate: ปลุกเสก
consensus: ความสอดคล้องกัน
conservatory: เรือนกระจก
consign: มอบ
consolidate: รวบรวม
consonant: พยัญชนะ
conspicuous: จับตา
consternation: ความตกตะลึง
constituency: เขตเลือกตั้ง
construe: ตีความ
consummate: สมบูรณ์
contempt: ดูถูก
contentious: ที่ถกเถียงกัน
contiguous: ติดกัน
contingent: ผูกพัน
continuum: ต่อเนื่อง
contraband: ของเถื่อน
contretemps: ละอาย
contrite: สำนึกผิด
contrived: วางแผน
contumely: ความดูหมิ่น
conundrum: ปริศนา
convene: ประชุมกัน
conventional: ธรรมดา
conversant: เคยชิน
converse: สนทนา
convey: สื่อ
conviction: ความเชื่อมั่น
convivial: สนุกสนาน
convolution: บิด
copious: มากมาย
cordial: จริงใจ
corollary: ข้อพิสูจน์
corporeal: ซึ่งมีตัวตน
correlation: ความสัมพันธ์
corroborate: ยืนยัน
corrosive: ที่มีฤทธิ์กัดกร่อน
corrugated: ลูกฟูก
cosmopolitan: ทั่วโลก
coterie: วง
countenance: สีหน้า
coup: ทำรัฐประหาร
covenant: พันธสัญญา
covert: แอบแฝง
covet: โลภ
cower: ยืนก้มตัวด้วยความอ่อนน้อมหรือกลัว
crass: หยาบ
craven: ขี้ขลาดตาขาว
credulous: หูเบา
crescendo: ลำดับ
crestfallen: คอตก
crevice: รอยแยก
cringe: ประจบประแจง
criterion: เกณฑ์
critique: คำติชม
crux: ปม
cryptic: คลุมเครือ
cuisine: อาหาร
culinary: การทำอาหาร
cull: เฟ้นหา
culminate: ถึงที่สุด
culpable: ติติง
curb: ขอบ
curmudgeon: curmudgeon
cursory: คร่าวๆ
curtail: กำจัด
cynic: ถากถาง
daunt: ทำให้กลัว
dearth: ความขาดแคลน
debacle: น้ำท่วม
debase: ลดตำแหน่ง
debauchery: การมึนเมา
debilitate: ทำให้อ่อนเพลีย
debunk: หักล้าง
decadent: เสื่อม
decimate: ฆ่าทิ้ง
decorous: มีมารยาท
decree: พระราชกฤษฎีกา
decry: ประณาม
deduce: สรุป
deem: ถือว่า
defame: หมิ่นประมาท
deference: ความเคารพ
deficit: การขาดดุล
defile: ช่องเขา
definitive: แตกหัก
deft: คล่องแคล่ว
defunct: ตาย
degenerate: คนเลว
degrade: ปลด
deign: ยอม
deity: เทพ
dejected: สลดใจ
delectable: เอร็ดอร่อย
deleterious: เป็นอันตราย
delineate: วิเคราะห์
delinquent: กระทำผิด
delude: หลอกลวง
deluge: น้ำท่วม
delve: คุ้ย
demagogue: ผู้ปลุกปั่น
demeanor: การกระทำ
demise: มรณกรรม
demography: ประชากรศาสตร์
demur: คัดค้าน
demure: เอียงอาย
denizen: ผู้อยู่
denomination: นิกาย
denote: แสดงว่า
denounce: บอกเพิกถอน
depict: พรรณนา
deplete: ทำให้หมดสิ้นลง
deplore: เสียใจ
deploy: ปรับใช้
depose: ให้การ
depravity: สิ่งเลวร้าย
deprecate: คัดค้าน
derelict: ที่ถูกทิ้ง
deride: เย้ยหยัน
derogatory: เสื่อมเสีย
desiccate: ผึ่งให้แห้ง
desist: เลิก
despondent: สิ้นหวัง
despot: เผด็จการ
destitute: ยากจน
desultory: ไม่ปะติดปะต่อ
devout: มีศรัทธา
dexterous: กระฉับกระเฉง
dialectical: วิภาษ
diatribe: คำติเตียนกลาวร้าย
dichotomy: ขั้ว
dictum: ภาษิต
didactic: เกี่ยวกับการสอน
diffident: ขี้อาย
diffuse: กระจาย
digress: พูดนอกเรื่อง
dilapidated: ทรุดโทรม
dilate: ขยาย
dilemma: ภาวะที่กลืนไม่เข้าคายไม่ออก
dilettante: นักสมัครเล่น
diminution: ลดลง
dire: หายนะ
dirge: บทสวดฝังศพ
disaffect: disaffect
disarray: ความระส่ำระสาย
discern: มองเห็น
disclaim: ปฏิเสธ
discomfit: ทำให้กระอักกระอ่วน
disconcert: เก้อ
discourse: วาทกรรม
discreet: รอบคอบ
discrepancy: ความคลาดเคลื่อน
discrete: ที่ไม่ต่อเนื่อง
discriminate: เห็นความแตกต่าง
disdain: ดูถูก
disgruntle: ทำให้ไม่พอใจ
disinformation: บิดเบือน
disinterested: ไม่สนใจ
dismal: กลุ้มใจ
dismay: ความกลัว
disparage: ดูหมิ่น
disparate: ต่างกัน
dispassionate: ไม่อคติ
disperse: กระจายไป
dispirit: ทำให้หมดกำลังใจ
disposition: จำหน่าย
disproportionate: ไม่สมส่วน
disquiet: ความไม่สงบ
dissemble: ปิดบัง
disseminate: เผยแพร่
dissent: ไม่เห็นด้วย
disservice: การก่อความเสียหาย
dissident: ไม่เห็นด้วย
dissipate: กระจายไป
dissolution: การละลาย
dissuade: ห้ามปราม
distend: โป่ง
distinct: แตกต่าง
distinguish: เห็นความแตกต่าง
diurnal: เวลากลางวัน
divine: ศักดิ์สิทธิ์
divulge: เป็นที่เปิดเผย
docile: เชื่อง
doctrinaire: ถือ แต่หลัก
document: เอกสาร
dogmatic: ดันทุรัง
doldrums: ซบเซา
doleful: ละห้อย
dolt: คนโง่
domestic: ในประเทศ
dormant: อยู่เฉยๆ
dotage: ความเลอะเลือน
double: สอง
dour: ดื้อดึง
downcast: เศร้าใจ
downplay: มองข้าม
draconian: เข้มงวด
droll: น่าขำ
dross: กากขยาก
dubious: น่าสงสัย
duplicity: การตีสองหน้า
duress: การข่มขู่บังคับ
ebb: การลดลง
ebullient: เดือดพ่ลาน
eccentric: แหกคอก
ecclesiastical: ของสงฆ์
eclectic: ผสมผสาน
eclipse: คราส
ecosystem: ระบบนิเวศ
edict: คำสั่ง
edifice: สิ่งปลูกสร้าง
edify: เทศนา
efface: ลบล้าง
effectual: มีผลบังคับใช้
efficacy: ประสิทธิภาพ
effigy: รูปจำลอง
effusion: ไหล
egalitarian: คุ้ม
egocentric: เห็นแก่ตัว
egregious: มหันต์
elation: ความอิ่มเอมใจ
electorate: เขตเลือกตั้ง
elegy: เพลงไว้อาลัย
elicit: ล้วงเอา
elite: ผู้ลากมากดี
elliptical: รูปไข่
elocution: การศึกษาเกี่ยวกับวิธีการพูด
elusive: เข้าใจยาก
emaciate: ตะเกียบ
emanate: ไหลออก
emancipate: ปลดปล่อย
embargo: การห้ามส่งสินค้า
embellish: ประดับประดา
embody: รวบรวม
embroil: โยง
embryonic: เป็นตัวอ่อน
emigrate: อพยพ
eminent: มีชื่อเสียง
emissary: ทูต
empathy: การเอาใจใส่
empirical: เชิงประจักษ์
empower: ให้อำนาจ
emulate: เลียนแบบ
encroach: เบียดเบียน
endear: เป็นที่รัก
endemic: เฉพาะถิ่น
enervate: ตัดกำลัง
enfranchise: ให้อิสระ
engaging: การมีส่วนร่วม
engender: ทำให้เกิด
enigma: ปริศนา
enmity: ความเป็นปฏิปักษ์
ennui: ความน่าเบื่อ
enormity: ความร้ายกาจ
ensue: ตามมา
entail: ตกทอด
entity: นิติบุคคล
entreat: วิงวอน
entrepreneur: ผู้ประกอบการ
enumerate: แจกแจง
envision: วาดภาพ
ephemeral: ชั่วคราว
epicure: ผู้มีรสนิยมสูง
epigram: คำคม
epilogue: ถ้อยคำส
epitome: สิ่งที่ดีเลิศ
epoch: ยุค
equanimity: ความใจเย็น
equestrian: นักขี่ม้า
equitable: เป็นธรรม
equivocal: สองแง่สองง่าม
erudite: คงแก่เรียน
esoteric: ลึกลับ
espouse: รับหลักการ
estimable: น่านับถือ
estrange: ทำให้บาดหมาง
ethereal: ไม่มีตัวตน
ethics: จริยธรรม
eulogy: คำสรรเสริญเยินยอ
euphemism: เพศ
evanescent: ซึ่งเลือนหายไป
evince: แสดงให้เห็น
evoke: ทำให้เกิด
exacerbate: ทำให้รุนแรง
exacting: เข้มงวด
exalt: ยกระดับ
exasperate: ทำให้โกรธ
excise: สรรพสามิต
exemplify: เป็นตัวอย่าง
exempt: ยกเว้น
exhaustive: หมดจด
exhort: ตักเตือน
exhume: ขุดขึ้นจากหลุม
exigency: ภาวะฉุกเฉิน
existential: การดำรงอยู่
exodus: อพยพ
exonerate: ปลดเปลื้องภาระ
exorbitant: สูงเกินไป
expatriate: เนรเทศ
expedient: สมควร
expedite: เร่ง
expiate: ลบล้าง
explicate: อธิบาย
explicit: ชัดเจน
exposition: การแสดงออก
expostulate: ทัดทาน
expunge: ลบล้าง
exquisite: ประณีต
extant: เท่าที่มีอยู่
extol: เฉลิม
extort: กรรโชก
extraneous: ภายนอก
extrapolate: คาดการณ์
extremity: ปลายสุด
extricate: คลี่คลาย
extrovert: คนพาหิรวัฒน์
exuberant: เจริญงอกงาม
exult: ปลาบปลื้ม
fabrication: การประดิษฐ์
facade: หน้าตึก
facet: ด้าน
facetious: ทะเล้น
facile: สะดวก
faction: ฝ่าย
fallacy: การเข้าใจผิด
farcical: น่หัวเราะ
fastidious: จุกจิก
fatalist: โชคชะตา
fathom: เข้าใจ
fatuous: บัดซบ
fauna: สัตว์
faux: มารยาท
fawn: สีเทาแกมเหลือง
fecund: อุดมสมบูรณ์
feign: ประดิษฐ์
felicity: ความสุข
fervor: ความร้อน
fester: เปื่อยเน่า
fetish: เครื่องราง
fetter: ล่ามโซ่
fiasco: ความล้มเหลว
fiat: คำสั่ง
fickle: ไม่แน่นอน
fidelity: ความจงรักภักดี
figment: สิ่งที่กุขึ้น
figurative: เป็นรูปเป็นร่าง
finesse: กลเม็ดเด็ดพราย
fiscal: การคลัง
flagrant: ชัด ๆ
flaunt: โบก
fledgling: นก
flippant: ทะลึ่ง
florid: แดงก่ำ
flout: หยาม
fodder: อาหารสัตว์
foible: ข้อบกพร่อง
folly: ความเขลา
foment: ปั่น
foray: การโจมตี
forbear: อดทน
forebode: แสดงว่าจะมี
foreclose: ยึดสังหาริมทรัพย์
forego: นำ
forensic: ทางนิติเวช
forestall: ขัดขวาง
forsake: ละทิ้ง
forswear: เป็นพยานเท็จ
forte: มือขวา
forthright: ตรงไปตรงมา
fortuitous: บังเอิญ
foster: อุปถัมภ์
founder: ผู้สร้าง
fragmentary: ไม่เป็นชิ้นเป็นอัน
fraternal: เป็นพี่น้องกัน
frenetic: แรง
frugal: ประหยัด
fruitful: มีผล
fuel: เชื้อเพลิง
fulminate: ร้องด่า
furtive: แอบแฝง
futile: ไม่ได้ผล
gaffe: การเสียมารยาท
galvanize: ชุบสังกะสี
gambit: กลเม็ด
gamut: โทนเสียงดนตรี
garner: สะสม
garrulous: ปากจัด
gastronomy: วิธีทำอาหาร
gauche: เก้งก้าง
generic: ทั่วไป
genesis: แหล่งกำเนิด
genocide: การทำลายชนชาติ
genre: ประเภท
genteel: สุภาพ
germane: ซึ่งเกี่ยวดองกันอย่างใกล้ชิด
gesticulate: โบกไม้โบกมือ
ghastly: น่ากลัว
glut: จำนวนที่มากเกินไป
grandiloquent: ใช้คำหรูหรา
grandiose: ยิ่งใหญ่
gratis: ฟรี
gratuitous: ให้เปล่า
gravity: แรงโน้มถ่วง
gregarious: ชอบอยู่เป็นกลุ่ม
grievous: สาหัส
grimace: หน้าตาบูดบึ้ง
guile: หลอกลวง
guise: หน้ากาก
habituate: ทำให้เกิดความเคยชิน
hackneyed: ที่ใช้อยู่เสมอ
halcyon: สงบเงียบ
hapless: โชคร้าย
harass: ราวี
harbinger: ลางสังหรณ์
harp: พิณใหญ่
harry: ก่อกวน
hedonism: สุขนิยม
hegemony: ความเป็นเจ้าโลก
heinous: ชั่วร้าย
herald: ประกาศ
heresy: บาป
hermetic: ลึกลับ
heyday: ความมั่งคั่ง
hiatus: ช่องว่าง
hierarchy: ลำดับชั้น
histrionic: มารยา
hoary: ผมหงอก
homage: ความเคารพ
homily: โอวาท
homogeneous: เหมือนกัน
hubris: ความโอหัง
husbandry: การเลี้ยงสัตว์
hyperbole: อติพจน์
hypocrisy: การเสแสร้ง
hypothetical: สมมุติ
iconoclast: นอกรีต
ideology: อุดมการณ์
idiom: สำนวน
idiosyncrasy: นิสัยแปลก
idyllic: งดงาม
ignominy: ความอัปยศอดสู
illicit: ผิดกฎหมาย
imbue: ย้อมสี
immigrate: อพยพ
imminent: ใกล้
immutable: ไม่เปลี่ยนรูป
impartial: เป็นธรรม
impasse: ที่อับจน
impeach: กล่าวหา
impeccable: กล่าวโทษได้
impecunious: ยากจน
impede: เป็นอุปสรรคต่อการ
impending: ที่ใกล้เข้ามา
impenetrable: ไม่ยอมรับ
imperative: ความจำเป็น
imperial: ของจักรพรรดิ
impervious: ไม่อนุญาต
impetuous: ใจร้อน
implement: ใช้
implication: ความหมาย
importune: รบเร้า
impotent: ไร้อำนาจ
impoverish: สิ้นไร้ไม้ตอก
impregnable: เข้มแข็ง
impresario: ผู้จัดการอุปรากร
impromptu: ทันควัน
improvise: โพล่ง
impugn: แย้ง
impunity: ไม่ต้องรับโทษ
inadvertent: ไม่ตั้งใจ
inalienable: เอาไปไม่ได้
inane: ขาดความผิด
inaugurate: ทำพิธีเปิด
incandescent: ร้อนระอุ
incantation: คาถา
incarnation: ชาติ
incendiary: วัตถุระเบิด
incense: ธูป
incessant: ไม่หยุดหย่อน
incipient: เริ่มเกิดขึ้น
incisive: คม
inclination: ความโน้มเอียง
incongruous: ไม่ลงรอยกัน
incorrigible: แก้ไขไม่ได้
increment: การเพิ่มขึ้น
inculcate: ย้ำ
incumbent: ผู้ดำรงตำแหน่ง
incursion: การโจมตี
indict: ฟ้อง
indifferent: ไม่แยแส
indigenous: ชนพื้นเมือง
indigent: ยากจน
indignant: ไม่พอใจ
indolent: สันหลังยาว
induce: ก่อให้เกิดการ
indulgent: ตามใจ
ineffable: สุดจะพรรณนา
ineluctable: ซึ่งหลีกเล่ียงไม่ได้
inept: ไม่สมควร
ineradicable: ซึ่งขจัดไม่ได้
inert: เฉื่อย
inexorable: ไม่ยอมให้
infamous: น่าอับอาย
infatuated: หลง
infer: สรุป
infinitesimal: เล็ก
inflammatory: การอักเสบ
influx: การไหลเข้า
infraction: การฝ่าฝืน
infrastructure: โครงสร้างพื้นฐาน
infringe: ละเมิด
infuse: ใส่
ingenuous: ตรงไปตรงมา
ingratiate: เอาใจ
inherent: โดยธรรมชาติ
inimical: ทารุณ
injunction: คำสั่ง
innate: โดยธรรมชาติ
innocuous: ไม่มีอันตราย
innuendo: การเสียดสี
inordinate: มากมาย
inquisition: การสืบสวน
insatiable: ไม่รู้จักพอ
insidious: ร้ายกาจ
insinuate: สอดแทรก
insipid: ไม่น่าสนใจ
insolent: อวดดี
insouciant: insouciant
instigate: กระตุ้น
insufferable: ทนไม่ได้
insular: โดดเดี่ยว
insuperable: ผ่านไปไม่ได้
insurgent: กบฏ
insurrection: การจลาจล
integral: สำคัญ
integrate: บูรณาการ
interim: ระหว่างกาล
interloper: คนเสือก
interlude: การแสดงสลับฉาก
interminable: ไม่มีที่สิ้นสุด
intermittent: ไม่สม่ำเสมอ
intersperse: กระจาย
intervene: แทรกแซง
intimate: ใกล้ชิด
intractable: ว่ายาก
intransigent: ไม่ยอม
intricate: สลับซับซ้อน
intrigue: วางอุบาย
intrinsic: แท้จริง
introspective: ครุ่นคิด
inundate: ท่วม
invective: คำบริภาษ
inveterate: เก่าแก่
invidious: ไม่ยุติธรรม
inviolate: ไม่ถูกทำลาย
invoke: เรียก
irascible: โกรธง่าย
iridescent: มีสีรุ้ง
ironic: แดกดัน
irrevocable: เอาคืนไม่ได้
itinerant: ธุดงค์
jargon: ศัพท์แสง
jaunt: ไปเที่ยว
jingoism: การแสดงความรักชาติอย่างรุนแรง
jocular: ตลก
jubilation: ความปีติยินดี
judicious: ฉลาด
junction: ทางแยก
junta: รัฐบาลทหารพม่า
juxtapose: วางข้างๆ
karma: กรรม
kinetic: เกี่ยวกับการเคลื่อนไหว
labyrinth: เขาวงกต
laconic: พูดน้อย
lament: ความเศร้าโศก
lampoon: เหน็บแนม
languish: ละเหี่ย
larceny: การลักขโมย
largess: การบริจาค
lascivious: มีความใคร่
latent: ที่ซ่อนเร้น
laud: ชม
lavish: ฟุ่มเฟือย
lax: หละหลวม
layman: คนธรรมดา
legacy: มรดก
lethargy: ความง่วง
levity: ความคะนอง
liaison: การประสานงาน
libel: กลั่นแกล้ง
licentious: มักมากในกาม
limpid: ชัดเจน
listless: กระสับกระส่าย
litany: การอธิษฐาน
litigate: ฟ้องร้อง
livid: ซีด
loath: ไม่เต็มใจ
lobby: ล็อบบี้
loquacious: พูดมาก
lout: คนที่โง่
lucid: สุวิมล
ludicrous: น่าหัวเราะ
lugubrious: เศร้าโศก
luminous: เรืองแสง
lyrical: พรั่งพรูออกมา
