abase: humilier
exonerate: disculper
exorbitant: exorbitant
expatriate: expatrié
expedient: opportun
expedite: accélérer
expiate: expier
explicate: expliciter
explicit: explicite
exposition: exposition
expostulate: récriminer
expunge: effacer
exquisite: exquis
extant: existante
extol: exalter
extort: extorquer
extraneous: étranger
extrapolate: extrapoler
extremity: extrémité
extricate: dégager
extrovert: extraverti
exuberant: exubérant
exult: exulter
fabrication: fabrication
facade: façade
facet: facette
facetious: facétieux
facile: facile
faction: faction
fallacy: erreur
farcical: grotesque
fastidious: délicat
fatalist: fataliste
fathom: brasse
fatuous: stupide
fauna: faune
faux: faux
fawn: faon
fecund: fécond
feign: feindre
felicity: félicité
fervor: ferveur
fester: suppurer
fetish: fétiche
fetter: entraver
fiasco: fiasco
fiat: décret
fickle: inconstant
fidelity: fidélité
figment: invention
figurative: figuratif
finesse: délicatesse
fiscal: fiscal
flagrant: flagrant
flaunt: faire étalage
fledgling: oisillon
flippant: désinvolte
florid: fleuri
flout: faire fi de
fodder: fourrage
foible: marotte
folly: folie
foment: fomenter
foray: incursion
forbear: ancêtre
forebode: présager
foreclose: saisir
forego: se priver de
forensic: légal
forestall: devancer
forsake: abandonner
forswear: renoncer
forte: forte
forthright: franc
fortuitous: fortuit
foster: favoriser
founder: fondateur
fragmentary: fragmentaire
fraternal: fraternel
frenetic: frénétique
frugal: frugal
fruitful: fructueux
fuel: carburant
fulminate: fulminer
furtive: furtif
futile: futile
gaffe: gaffe
galvanize: galvaniser
gambit: gambit
gamut: gamme
garner: recueillir
garrulous: bavard
gastronomy: gastronomie
gauche: gauche
generic: générique
genesis: genèse
genocide: génocide
genre: genre
genteel: distingué
germane: germane
gesticulate: gesticuler
ghastly: horrible
glut: surabondance
grandiloquent: grandiloquent
grandiose: grandiose
gratis: gratuitement
gratuitous: gratuit
gravity: la gravité
gregarious: grégaire
grievous: grave
grimace: grimace
guile: ruse
guise: apparence
habituate: habituer
hackneyed: rebattu
halcyon: alcyon
hapless: malchanceux
harass: harceler
harbinger: présage
harp: harpe
harry: harceler
hedonism: hédonisme
hegemony: hégémonie
heinous: odieux
herald: héraut
heresy: hérésie
hermetic: hermétique
heyday: apogée
hiatus: hiatus
hierarchy: hiérarchie
histrionic: théâtral
hoary: chenu
homage: hommage
homily: homélie
homogeneous: homogène
hubris: hubris
husbandry: agriculture
hyperbole: hyperbole
hypocrisy: hypocrisie
hypothetical: hypothétique
iconoclast: iconoclaste
ideology: idéologie
idiom: idiome
idiosyncrasy: particularité
idyllic: idyllique
ignominy: ignominie
illicit: illicite
imbue: imprégner
immigrate: immigrer
imminent: imminent
immutable: immutable
impartial: impartial
impasse: impasse
impeach: accuser
impeccable: impeccable
impecunious: impécunieux
impede: entraver
impending: imminent
impenetrable: impénétrable
imperative: impératif
imperial: impérial
impervious: imperméable
impetuous: impétueux
implement: mettre en place
implication: implication
importune: importuner
impotent: impuissant
impoverish: appauvrir
impregnable: imprenable
impresario: impresario
impromptu: impromptu
improvise: improviser
impugn: attaquer
impunity: impunité
inadvertent: involontaire
inalienable: inaliénable
inane: inepte
inaugurate: inaugurer
incandescent: incandescent
incantation: incantation
incarnation: incarnation
incendiary: incendiaire
incense: encens
incessant: incessant
incipient: naissant
incisive: incisif
inclination: inclination
incongruous: incongru
incorrigible: incorrigible
increment: incrément
inculcate: inculquer
incumbent: titulaire
incursion: incursion
indict: accuser
indifferent: indifférent
indigenous: indigène
indigent: indigent
indignant: indigné
indolent: indolent
induce: induire
indulgent: indulgent
ineffable: ineffable
ineluctable: inéluctable
inept: inepte
ineradicable: indéracinable
inert: inerte
inexorable: inexorable
infamous: infâme
infatuated: entiché
infer: déduire
infinitesimal: infinitésimale
inflammatory: inflammatoire
influx: afflux
infraction: infraction
infrastructure: Infrastructure
infringe: enfreindre
infuse: infuser
ingenuous: ingénu
ingratiate: ingratiate
inherent: inhérent
inimical: hostile
injunction: injonction
innate: inné
innocuous: inoffensif
innuendo: insinuation
inordinate: excessif
inquisition: inquisition
insatiable: insatiable
insidious: insidieux
insinuate: insinuer
insipid: insipide
insolent: insolent
insouciant: insouciante
instigate: susciter
insufferable: insupportable
insular: insulaire
insuperable: insurmontable
insurgent: insurgé
insurrection: insurrection
integral: intégral
integrate: intégrer
interim: intérimaire
interloper: intrus
interlude: interlude
interminable: interminable
intermittent: intermittent
intersperse: semer
intervene: intervenir
intimate: intime
intractable: intraitable
intransigent: intransigeant
intricate: complexe
intrigue: intrigue
intrinsic: intrinsèque
introspective: introspectif
inundate: inonder
invective: invective
inveterate: invétéré
invidious: injuste
inviolate: inviolé
invoke: invoquer
irascible: irascible
iridescent: iridescent
ironic: ironique
irrevocable: irrévocable
itinerant: itinérant
jargon: jargon
jaunt: balade
jingoism: chauvinisme
jocular: enjoué
jubilation: jubilation
judicious: judicieux
junction: jonction
junta: junte
juxtapose: juxtaposer
karma: karma
kinetic: cinétique
labyrinth: labyrinthe
laconic: laconique
lament: complainte
lampoon: pamphlet
languish: languir
larceny: vol
largess: largesse
lascivious: lascif
latent: latent
laud: louange
lavish: prodiguer
lax: relâché
layman: profane
legacy: héritage
lethargy: léthargie
levity: légèreté
liaison: liaison
libel: calomnie
licentious: licencieux
limpid: limpide
listless: indifférent
litany: litanie
litigate: plaider
livid: livide
loath: répugnent
lobby: hall
loquacious: loquace
lout: voyou
lucid: lucide
ludicrous: ridicule
lugubrious: lugubre
luminous: lumineux
lyrical: lyrique
machination: machination
magnanimous: magnanime
magnate: magnat
malaise: malaise
malapropism: impropriété de langage
malfeasance: malversation
malignant: malin
malinger: simuler la maladie
malleable: malléable
mandate: mandat
mania: la manie
manifest: manifeste
manifesto: manifeste
marginal: marginal
marshal: maréchal
martial: martial
martyr: martyr
materialistic: matérialiste
matriculate: s'inscrire
maudlin: larmoyant
maverick: franc-tireur
mawkish: fade
maxim: maxime
meander: méandre
mediate: médiat
medium: moyen
melancholy: mélancolie
melee: mêlée
mellifluous: mélodieux
menagerie: ménagerie
mendacious: mensonger
mendicant: mendiant
mentor: mentor
mercenary: mercenaire
mercurial: mercuriel
metamorphosis: métamorphose
meticulous: méticuleux
microcosm: microcosme
milieu: milieu
millennium: millénaire
miniscule: minuscule
mire: boue
misanthropic: misanthropique
mitigate: atténuer
mode: mode
modulate: moduler
mollify: amadouer
momentum: élan
monolithic: monolithique
moratorium: moratorium
mores: mœurs
moribund: moribond
morose: morose
mortify: mortifier
motif: motif
motley: hétéroclite
mundane: banal
municipal: municipal
munificent: munificent
muse: muse
muster: rassemblement
myopia: myopie
myriad: myriade
mystic: mystique
narcissism: narcissisme
nebulous: nébuleux
nefarious: infâme
nemesis: Némésis
neologism: néologisme
neophyte: néophyte
nepotism: népotisme
nihilism: nihilisme
nirvana: nirvana
noisome: répugnant
nomadic: nomade
nomenclature: la nomenclature
nominal: nominal
nonchalant: nonchalant
nostalgia: nostalgie
notorious: célèbre
novel: roman
noxious: nuisible
nuance: nuancer
nullify: annuler
obdurate: inflexible
obeisance: révérence
obfuscate: obscurcir
objective: objectif
oblique: oblique
oblivion: oubli
obscure: obscur
obsequious: obséquieux
obtrusive: importun
obtuse: obtus
obviate: obvier
occult: occulte
odious: odieux
odyssey: odyssée
officious: trop zélé
olfactory: olfactif
oligarchy: oligarchie
ominous: de mauvais augure
omniscient: omniscient
onerous: lourd
opaque: opaque
opprobrious: méprisant
opulent: opulent
ordinance: ordonnance
orthodox: orthodoxe
oscillate: osciller
osmosis: osmose
ostensible: prétendu
ostentatious: ostentatoire
ostracize: frapper d'ostracisme
oust: évincer
override: passer outre
overture: ouverture
oxymoron: oxymoron
pacify: pacifier
painstaking: soigneux
palatable: acceptable
palliate: pallier
pallor: pâleur
palpable: palpable
paltry: dérisoire
panacea: panacée
pandemic: pandémie
panegyric: panégyrique
parable: parabole
paradigm: paradigme
paradox: paradoxe
paragon: parangon
parallel: parallèle
paranoia: paranoïa
paranormal: paranormal
parochial: paroissial
parody: parodie
paroxysm: paroxysme
parsimonious: parcimonieux
partisan: partisan
partition: Partition
pastoral: pastorale
patent: brevet
paternal: paternel
pathology: pathologie
pathos: pathétique
patina: patine
patriarch: patriarche
patrician: patricien
patrimony: patrimoine
patronize: fréquenter
paucity: manque
peccadillo: peccadille
peculiar: particulier
pedantic: pédant
pedestrian: piéton
pejorative: péjoratif
penchant: penchant
penitent: pénitent
pensive: pensif
peregrination: pérégrination
peremptory: péremptoire
perennial: vivace
perfidy: perfidie
perfunctory: sommaire
peripatetic: ambulant
periphery: périphérie
perjury: parjure
permeate: pénétrer
pernicious: pernicieux
perpetrator: auteur
perpetuate: perpétuer
perquisite: perquisite
pertinent: pertinent
perturb: perturber
peruse: lire attentivement
pervade: imprégner
perverse: pervers
petulant: irritable
phantasm: fantasme
philanthropy: philanthropie
philistine: Philistin
phlegmatic: flegmatique
pilgrimage: pèlerinage
pious: pieux
pivotal: pivot
placate: apaiser
placebo: placebo
plaintive: plaintif
platitude: platitude
platonic: platonique
plausible: plausible
plebeian: plébéien
plethora: pléthore
pliable: souple
plight: situation critique
plunder: pillage
pluralism: pluralisme
poignant: poignant
polarize: polariser
polemic: polémique
ponderous: lourd
pontificate: pontificat
porous: poreux
portent: présage
posterity: postérité
posthumous: posthume
postulate: postulat
posture: posture
pragmatic: pragmatique
prattle: babil
precarious: précaire
precedent: précédent
precept: précepte
precipitate: précipité
precipitous: abrupt
preclude: empêcher
precocious: précoce
precursor: précurseur
predecessor: prédécesseur
predicament: situation difficile
predilection: prédilection
predispose: prédisposer
predominant: prédominant
preeminent: prééminent
preempt: devancer
pregnant: Enceinte
prelude: prélude
premeditated: prémédité
premise: prémisse
preponderance: prépondérance
prepossess: prévenir
prerogative: prérogative
presage: présage
presentiment: pressentiment
presumably: probablement
presuppose: présupposer
prevail: prévaloir
primal: primitif
pristine: parfait
privation: privation
proclaim: proclamer
procure: procurer
prodigal: prodigue
prodigious: prodigieux
prodigy: prodige
profane: profane
profess: professer
proficient: compétent
profligate: débauché
profound: profond
profuse: abondant
progeny: progéniture
proletariat: prolétariat
proliferate: proliférer
prolific: prolifique
promulgate: promulguer
propagate: propager
propensity: propension
propitious: propice
proponent: partisan
propound: proposer
proprietary: propriétaire
propriety: convenance
prosaic: prosaïque
proscribe: proscrire
proselytize: faire du prosélytisme
protagonist: protagoniste
protege: protégé
protocol: protocole
protract: prolonger
provident: prévoyant
provincial: provincial
provisional: provisoire
provocation: provocation
prowess: prouesse
proximity: proximité
prudent: prudent
prurient: lascif
pseudonym: pseudonyme
psyche: psyché
pummel: bourrer de coups
punctilious: pointilleux
pundit: expert
pungent: âcre
punitive: punitif
purblind: obtus
puritanical: puritain
putative: putatif
quaint: pittoresque
qualify: qualifier
qualitative: qualitatif
quandary: dilemme
quasi: quasi
quay: quai
quell: réprimer
querulous: récriminateur
query: question
queue: queue
quiescent: tranquille
quintessential: quintessentiel
quixotic: chimérique
quizzical: narquois
quotidian: quotidien
ramification: ramification
rampant: rampant
rancor: rancune
rapacious: rapace
rapture: ravissement
rarefied: raréfié
ratify: ratifier
ratiocination: ratiocination
rationale: raisonnement
raucous: rauque
reactionary: réactionnaire
rebuff: rebuffade
rebuke: réprimander
rebut: réfuter
recalcitrant: récalcitrant
recant: rétracter
recidivism: récidive
reciprocal: réciproque
reclaim: récupérer
reclusive: solitaire
recondite: obscur
recrimination: récrimination
redeem: racheter
redolent: parfumé
redress: redresser
redundant: redondant
referendum: référendum
refractory: réfractaire
refute: réfuter
regime: régime
regimen: régime
reiterate: réitérer
relegate: reléguer
relentless: implacable
relinquish: renoncer
remission: remise
remonstrate: protester
remuneration: rémunération
renaissance: Renaissance
rend: déchirer
render: rendre
renounce: renoncer
reparation: réparation
repartee: repartie
repercussion: répercussion
replenish: remplir
replete: rempli
replicate: reproduire
repose: repos
reprehensible: répréhensible
repress: réprimer
reprimand: réprimande
reprisal: représailles
reproach: reproche
reprobate: réprouver
reprove: réprouver
repudiate: répudier
repugnant: répugnant
requisite: requis
resignation: démission
resolute: résolu
respite: répit
resplendent: resplendissant
resurrection: résurrection
reticent: réticent
retort: cornue
retrospect: rétrospection
revamp: réorganiser
revel: se délecter
revere: révérer
revile: vilipender
revulsion: dégoût
rhapsodize: s'extasier
rhetoric: rhétorique
ribald: grivois
rife: répandu
rigorous: rigoureux
rivet: rivet
robust: robuste
rogue: coquin
rout: déroute
rudimentary: rudimentaire
rue: rue
ruminate: ruminer
rustic: rustique
saccharine: saccharine
sacrilege: sacrilège
sacrosanct: sacro-saint
sagacious: sagace
salient: saillant
sally: sortie
salutary: salutaire
salutation: salutation
sanctimonious: moralisateur
sanction: sanction
sanguine: sanguine
sarcasm: sarcasme
sardonic: sardonique
savant: savant
scant: maigre
schism: schisme
scintillate: scintiller
scorn: mépris
scrupulous: scrupuleux
scrutinize: scruter
seamless: sans couture
secede: faire sécession
seclusion: isolement
sect: secte
secular: laïque
sedentary: sédentaire
sedition: sédition
segregate: séparer
self-made: fait maison
sensory: sensoriel
sententious: sentencieux
sentient: sensible
sequester: séquestrer
serendipity: sérendipité
serene: serein
serpentine: serpentin
servile: servile
shackle: manille
shibboleth: schibboleth
shrewd: astucieux
singular: singulier
sinister: sinistre
skirmish: escarmouche
skittish: ombrageux
slake: étancher
slander: calomnier
sloth: la paresse
sobriety: sobriété
solace: réconfort
solidarity: la solidarité
solvent: solvant
soporific: soporifique
sordid: sordide
sovereign: souverain
spate: série
spawn: frayer
specious: spécieux
specter: spectre
spectrum: spectre
sporadic: sporadique
spurious: faux
spurn: éconduire
squalor: misère noire
squander: gaspiller
stagnation: stagnation
stalwart: vigoureux
stark: rigide
static: statique
staunch: étancher
steadfast: ferme
stigmatize: stigmatiser
stint: besogne assignée
stipend: traitement
stipulate: stipuler
stoic: stoïque
stolid: flegmatique
stout: gros
stratagem: stratagème
stratum: strate
stricture: rétrécissement
strife: conflit
stringent: strict
stupendous: prodigieux
stupor: stupeur
stymie: entrave
subjugate: subjuguer
sublime: sublime
subordinate: subalterne
subside: se calmer
subsidiary: filiale
subsidize: subventionner
substantiate: justifier
substantive: substantiel
subterfuge: subterfuge
subtle: subtil
subversive: subversif
succinct: succinct
succumb: succomber
suffice: suffire
suffrage: suffrage
suffuse: pigmenter
sumptuous: somptueux
supercilious: sourcilleux
superficial: superficiel
superfluous: superflu
supersede: remplacer
supine: couché
supplication: supplication
suppress: réprimer
surfeit: excès
surmise: conjecture
surreal: surréaliste
surreptitious: subreptice
surrogate: substitut
susceptible: sensible
sweeping: balayage
sycophant: flagorneur
syntax: syntaxe
synthesis: la synthèse
systemic: systémique
tacit: tacite
taciturn: taciturne
tactical: tactique
taint: entacher
tangential: tangentiel
tangible: tangible
tantamount: équivalent
tautological: tautologique
tedium: ennui
teem: pulluler
temerity: témérité
temperate: tempéré
temporal: temporel
temporize: temporiser
tenable: défendable
tenacious: tenace
tenet: principe
tentative: provisoire
tenuous: ténu
tepid: tiède
terse: laconique
theology: théologie
thesis: thèse
thorny: épineux
threshold: au seuil
throttle: étrangler
thwart: contrecarrer
timorous: timoré
tirade: tirade
titillate: titiller
titular: titulaire
toil: labeur
torpor: torpeur
tortuous: tortueux
touchstone: pierre de touche
tout: vanter
toxic: toxique
transcend: transcender
transfix: transpercer
transgress: transgresser
transient: transitoire
trauma: traumatisme
travesty: travestir
trenchant: tranchant
trepidation: inquiétude
triumvirate: triumvirat
tryst: rendez-vous
tumult: tumulte
