abase: 凌辱
apropos: 恰好的
apt: 易于
aptitude: 能力倾向
arbiter: 仲裁者
arbitrary: 随意
arcade: 拱廊
arcane: 奥术
archaic: 古老
archetype: 原型
archipelago: 群岛
archives: 档案
ardent: 热心
arduous: 艰巨
arid: 干旱
aristocratic: 贵族的
armament: 武器
armistice: 停战
arraign: arraign
arrant: 彻头彻尾
arrears: 拖欠
arsenal: 兵工厂
artful: 巧
articulate: 说出
artifice: 技巧
artisan: 工匠
ascendancy: 优势
ascertain: 探明
ascetic: 禁欲者
ascribe: 归咎于
askance: 怀疑地
aspersion: 诽谤
assail: 攻击
assert: 断言
assess: 评估
assiduous: 刻苦
assimilate: 吸收
assuage: 缓和
astringent: 涩
astute: 精明
asylum: 避难所
atheist: 无神论者
atone: 赎罪
atrophy: 痿
attest: 表明
attribute: 属性
attrition: 摩擦
audacity: 大胆
augment: 扩大
augur: 奥格
august: 八月
auspices: 主持
auspicious: 吉祥
austere: 简朴的
autocratic: 专制
autonomous: 自主性
auxiliary: 辅
avail: 果
avant-garde: 前卫
avarice: 贪婪
aversion: 厌恶
avert: 避免
avid: 狂热
avow: 承认
avuncular: 母舅
awry: 歪
axiom: 公理
bacchanal: 发酒疯
baleful: 恶意
balk: 阻
ballyhoo: 大肆宣传
balm: 香脂
banal: 平庸
bandy: 往复投掷
bane: 鸩毒
banter: 嘲笑
baroque: 巴洛克
barrage: 弹幕
bastion: 堡垒
bauble: 玩具
bedlam: 疯人院
beget: 产生
begrudge: 羡慕
behest: 遗志
belabor: 痛打
beleaguer: 围攻
belie: 叶公好龙
belittle: 贬低
belligerent: 忮
bemoan: 哀叹
bemused: 困惑的
benediction: 祝福
benefactor: 恩人
benevolent: 仁慈
benighted: 赶路到天黑的
benign: 良性
bequest: 遗产
bereaved: 丧亲
beset: 困
bestow: 赐给
bilious: 坏脾气的
bivouac: 露营
blanch: 灼
bland: 平淡
blandishment: blandishment
blasphemy: 亵渎的话
blatant: 明目张胆
blight: 枯萎病
bliss: 福佑
blithe: 盲目乐观
bluster: 气焰
bombast: 豪语
boon: 福音
boor: 莽汉
booty: 赃物
botch: 糟蹋
bourgeois: 资产阶级
bovine: 牛
bracing: 支撑
brandish: 挥舞
bravado: 虚张声势
brawn: 膂力
brazen: 厚颜无耻
breach: 冲破
brevity: 简短
brink: 边缘
bristle: 鬃
broach: 拉刀
bromide: 溴
brouhaha: 骚动
brusque: 粗暴
bucolic: 牧歌
buffoon: 丑角
bulwark: 堡垒
bureaucracy: 官僚
burgeon: 发芽
burlesque: 滑稽戏
byzantine: 拜占庭人
cabal: 阴谋
cache: 高速缓存
cacophony: 杂音
cadence: 韵律
cajole: 哄骗
calamity: 灾害
callous: 冷酷
callow: 乳臭未干
calumny: 诽谤
candor: 直率
canon: 教规
cant: 斜面
canvass: 帆布
capacious: 开阔
capital: 资本
capitalism: 资本主义
capitulate: 投降
capricious: 任性
captivate: 着迷
carcinogenic: 致癌
cardinal: 枢机主教
careen: 小宗
caricature: 漫画
cartography: 制图
cascade: 级联
castigate: 鞭挞
cataclysm: 激变
catalyst: 催化剂
categorical: 明确的
catharsis: 导泻
catholic: 天主教徒
caucus: 预备会议
caustic: 尖刻
cavalier: 骑士
cavil: 吹毛求疵
celibacy: 独身
censure: 谴责
cerebral: 脑的
chaff: 糠
chagrin: 懊恼
chameleon: 变色龙
champion: 冠军
channel: 渠道
charisma: 魅力
charlatan: 庸医
chasm: 裂口
chaste: 贞
chastise: 责打
cherub: 天使
chicanery: 强辩
chimera: 嵌合体
choleric: 易怒的
chortle: 得意的高笑
chronic: 慢性
chronicle: 编年史
churl: 吝啬鬼
chutzpah: 放肆
cipher: 暗号
circuitous: 迂
circumlocution: 赘言
circumnavigate: 环航
circumscribe: 外接
circumspect: 细心
circumvent: 规避
citadel: 堡垒
civil: 公民
clandestine: 隐蔽
classic: 经典
cleave: 劈开
clemency: 宽大
cliche: 陈词滥调
climatic: 气候
clique: 集团
cloister: 寺院
clone: 克隆
clout: 影响力
cloy: 克洛伊
coalesce: 合并
coddle: 溺爱
coerce: 胁迫
cogent: 切实
cogitate: 深思问题
cognitive: 认知
cognizant: 认识
coherent: 相干
cohort: 队列
colloquial: 口语
collusion: 共谋
commemorate: 纪念
commensurate: 相称
commiserate: 怜悯
commodious: 合宜的
compatible: 兼容
compelling: 引人注目
compendium: 概要
competent: 能干
compile: 编
complacent: 自满
complement: 补充
complicity: 同谋
comply: 执行
composed: 由
comprehensive: 全面
comprise: 包括
compromise: 妥协
compunction: 内疚
concave: 凹
concede: 承认
concentric: 同心
concert: 音乐会
conciliatory: 和解
concise: 简洁
concoct: 编造
concomitant: 伴随
concord: 和睦
concurrent: 并发
condescend: 屈就
condone: 纵容
conducive: 有利于
confederate: 邦联
confer: 授予
confidant: 知己
configuration: 组态
conflagration: 燹
confluence: 合流
confound: 惊讶
congeal: 凝
congenial: 相投
congenital: 先天性
congregate: 集合
conjecture: 推测
conjugal: 夫妇的
conjure: 变戏法
connive: 纵容
connoisseur: 行家
consecrate: 供奉
consensus: 共识
conservatory: 温室
consign: 交付
consolidate: 巩固
consonant: 辅音
conspicuous: 显着
consternation: 惊愕
constituency: 选民
construe: 诠释
consummate: 完善
contempt: 鄙视
contentious: 争议
contiguous: 邻近的
contingent: 队伍
continuum: 连续
contraband: 禁品
contretemps: CONTRETEMPS
contrite: 过意不去的
contrived: 做作
contumely: 傲慢
conundrum: 难题
convene: 召开
conventional: 常规
conversant: 谙练
converse: 交谈
convey: 传达
conviction: 定罪
convivial: 欢乐的
convolution: 卷积
copious: 丰富
cordial: 亲切
corollary: 推论
corporeal: 肉体的
correlation: 关联
corroborate: 证实
corrosive: 腐蚀性的
corrugated: 瓦楞
cosmopolitan: 国际化
coterie: 小圈子
countenance: 面容
coup: 政变
covenant: 盟约
covert: 隐蔽
covet: 贪图
cower: 退缩
crass: 鲁
craven: 懦夫
credulous: 轻信
crescendo: 渐强
crestfallen: 垂头丧气
crevice: 裂缝
cringe: 低三下四
criterion: 标准
critique: 批判
crux: 症结
cryptic: 神秘
cuisine: 烹饪
culinary: 烹饪
cull: 扑杀
culminate: 高潮
culpable: 有罪
curb: 抑制
curmudgeon: 倔老头
cursory: 走马
curtail: 缩短
cynic: 犬儒
daunt: 吓住
dearth: 缺乏
debacle: 崩溃
debase: 贬低
debauchery: 放荡
debilitate: 衰弱
debunk: 揭幕
decadent: 颓废
decimate: 消灭
decorous: 端庄
decree: 法令
decry: 诽谤
deduce: 推断
deem: 认为
defame: 诽谤
deference: 尊重
deficit: 赤字
defile: 隘路
definitive: 明确
deft: 麻利
defunct: 停业
degenerate: 退化
degrade: 降级
deign: 屈尊
deity: 神
dejected: 垂头丧气
delectable: 美味
deleterious: 有害
delineate: 勾画
delinquent: 违法的
delude: 骗
deluge: 洪水
delve: 深入
demagogue: 煽动者
demeanor: 风度
demise: 禅让
demography: 人口统计学
demur: 提出异议
demure: 拘谨
denizen: 常客
denomination: 面值
denote: 表示
denounce: 声讨
depict: 描绘
deplete: 消耗
deplore: 痛惜
deploy: 部署
depose: 免职
depravity: 腐败
deprecate: 藐视
derelict: 被遗弃
deride: 嘲笑
derogatory: 贬
desiccate: 变干
desist: 断念
despondent: 沮丧
despot: 暴君
destitute: 贫困
desultory: 断断续续的
devout: 虔诚
dexterous: 轻巧
dialectical: 辩证
diatribe: 诽谤
dichotomy: 二分法
dictum: 格言
didactic: 教导的
diffident: 心虚
diffuse: 扩散
digress: 离题
dilapidated: 破败
dilate: 膨胀
dilemma: 困境
dilettante: 外行
diminution: 减值
dire: 可怕
dirge: 挽歌
disaffect: disaffect
disarray: 杂乱
discern: 辨别
disclaim: 放弃
discomfit: discomfit
disconcert: 搅乱
discourse: 演讲
discreet: 慎重
discrepancy: 差异
discrete: 分离
discriminate: 辨析
disdain: 蔑视
disgruntle: disgr​​untle
disinformation: 造谣
disinterested: 无私
dismal: 惨淡
dismay: 沮丧
disparage: 贬损
disparate: 不同
dispassionate: 冷静
disperse: 分散
dispirit: 使...批郁不欢
disposition: 性格
disproportionate: 不成比例
disquiet: 忧虑
dissemble: 掩饰
disseminate: 传播
dissent: 异议
disservice: 帮倒忙
dissident: 持不同政见
dissipate: 消散
dissolution: 解散
dissuade: 劝阻
distend: 扩张
distinct: 不同
distinguish: 区分
diurnal: 日
divine: 神圣
divulge: 泄露
docile: 温顺
doctrinaire: 空论家
document: 文件
dogmatic: 独断的
doldrums: 低迷
doleful: 酸溜溜
dolt: 糊涂人
domestic: 国内
dormant: 休眠
dotage: 溺爱
double: 双
dour: 严厉
downcast: 沮丧
downplay: 淡化
draconian: 严厉
droll: 滑稽
dross: 浮渣
dubious: 可疑
duplicity: 表里不一
duress: 胁迫
ebb: 落潮
ebullient: 热情洋溢
eccentric: 偏心
ecclesiastical: 教会
eclectic: 不拘一格
eclipse: 蚀
ecosystem: 生态系统
edict: 法令
edifice: 大厦
edify: 陶冶
efface: 抹去
effectual: 效果好
efficacy: 功效
effigy: 肖像
effusion: 积液
egalitarian: 平均主义
egocentric: 自我中心
egregious: 过分的
elation: 欢欣鼓舞
electorate: 选民
elegy: 挽歌
elicit: 引出
elite: 精英
elliptical: 椭圆的
elocution: 演说术
elusive: 难以捉摸
emaciate: 消瘦
emanate: 发出
emancipate: 解放
embargo: 禁运
embellish: 润
embody: 体现
embroil: 牵连
embryonic: 胚胎
emigrate: 移民
eminent: 杰出
emissary: 使者
empathy: 同情
empirical: 经验
empower: 授权
emulate: 仿真
encroach: 侵犯
endear: 爱戴
endemic: 流行
enervate: 微弱
enfranchise: enfranchise
engaging: 配合
engender: 产生
enigma: 谜
enmity: 敌意
ennui: 无聊
enormity: 艰巨
ensue: 接踵而至
entail: 意味着
entity: 实体
entreat: 恳求
entrepreneur: 企业家
enumerate: 枚举
envision: ENVISION
ephemeral: 短暂的
epicure: 美食家
epigram: 警句
epilogue: 结语
epitome: 缩影
epoch: 时代
equanimity: 泰然处之
equestrian: 骑马的
equitable: 公平
equivocal: 暧昧
erudite: 博学
esoteric: 深奥
espouse: 信奉
estimable: 估
estrange: 离间
ethereal: 空灵
ethics: 伦理
eulogy: 颂
euphemism: 婉辞
evanescent: 逝
evince: 表明
evoke: 唤起
exacerbate: 加剧
exacting: 严格
exalt: 捧
exasperate: 恶化
excise: 摘除
exemplify: 举例说明
exempt: 豁免
exhaustive: 详尽
exhort: 俛
exhume: 发掘
exigency: 紧急情况
existential: 存在
exodus: 出埃及记
exonerate: 开脱
exorbitant: 高昂
expatriate: 外籍
expedient: 权宜
expedite: 促进
expiate: 赎罪
explicate: 阐明
explicit: 明确的
exposition: 展览会
expostulate: 劝戒
expunge: 抹去
exquisite: 精美
extant: 现存
extol: 称赏
extort: 勒索
extraneous: 外来
extrapolate: 推断
extremity: 末端
extricate: 解脱
extrovert: 外向的人
exuberant: 旺盛
exult: 欢腾
fabrication: 制造
facade: 正面
facet: 面
facetious: 滑稽的
facile: 轻便
faction: 派
fallacy: 谬论
farcical: 滑稽的
fastidious: 挑剔
fatalist: 宿命论者
fathom: 捉摸
fatuous: 昏庸
fauna: 动物区系
faux: 人造
fawn: 讨好
fecund: 丰饶的
feign: 假装
felicity: 祺
fervor: 热情
fester: 溃烂
fetish: 物神
fetter: 脚镣
fiasco: 惨败
fiat: 菲亚特
fickle: 薄情
fidelity: 忠诚
figment: 虚构
figurative: 比喻
finesse: 灵巧
fiscal: 财
flagrant: 明目张胆
flaunt: 标榜
fledgling: 雏鸟
flippant: 轻率
florid: 花语
flout: 蔑视
fodder: 饲料
foible: 怪癖
folly: 蠢事
foment: 罨
foray: 突袭
forbear: 隐忍
forebode: 预示
foreclose: 取消抵押品赎回权
forego: 放弃
forensic: 法庭的
forestall: 垄断
forsake: 背叛
forswear: 作伪证
forte: 长处
forthright: 直率的
fortuitous: 偶然
foster: 培育
founder: 创办人
fragmentary: 残缺不全
fraternal: 兄弟
frenetic: 狂热的
frugal: 节俭
fruitful: 卓有成效
fuel: 燃料
fulminate: 雷酸盐
furtive: 鬼鬼祟祟
futile: 无用
gaffe: 过失
galvanize: 镀锌
gambit: 话题
gamut: 色域
garner: 加纳
garrulous: 贫嘴
gastronomy: 美食
gauche: 笨拙
generic: 通用
genesis: 创世纪
genocide: 种族灭绝
genre: 类型
genteel: 温雅
germane: 有密切关系
gesticulate: 指手画脚
ghastly: 阴森
glut: 充斥
grandiloquent: 夸张
grandiose: 雄伟
gratis: 免费
gratuitous: 免费的
gravity: 重力
gregarious: 群居
grievous: 惨重
grimace: 鬼脸
guile: 诡计
guise: 伪装
habituate: ，观察者
hackneyed: 陈腐
halcyon: 宁静
hapless: 倒霉
harass: 骚扰
harbinger: 预兆
harp: 竖琴
harry: 掠夺
hedonism: 享乐主义
hegemony: 霸权
heinous: 滔天
herald: 先锋
heresy: 异端
hermetic: 密闭
heyday: 极盛
hiatus: 裂缝
hierarchy: 阶层
histrionic: 戏剧性
hoary: 苍老
homage: 尊敬
homily: 讲道
homogeneous: 同质
hubris: 傲慢
husbandry: 农事
hyperbole: 夸张
hypocrisy: 假意
hypothetical: 假想
iconoclast: 反传统
ideology: 思想
idiom: 成语
idiosyncrasy: 特质
idyllic: 田园
ignominy: 耻辱
illicit: 非法的
imbue: 灌输
immigrate: 移民
imminent: 即将来临
immutable: 不变
impartial: 公正
impasse: 僵局
impeach: 劾
impeccable: 无可挑剔
impecunious: 身无分文
impede: 阻碍
impending: 即将发生
impenetrable: 费解的
imperative: 势在必行
imperial: 帝国
impervious: 抗渗
impetuous: 浮躁
implement: 实现
implication: 意义
importune: 纠缠
impotent: 无能
impoverish: 时间一长
impregnable: 坚不可摧
impresario: 承办
impromptu: 即兴
improvise: 凑合
impugn: 抨击
impunity: 有罪不罚
inadvertent: 非故意的
inalienable: 不移
inane: 空洞的
inaugurate: 开幕
incandescent: 白炽灯
incantation: 咒语
incarnation: 化身
incendiary: 放火的
incense: 香
incessant: 不停
incipient: 初期的
incisive: 尖锐
inclination: 倾角
incongruous: 牛头不对马嘴
incorrigible: 不可救药
increment: 增量
inculcate: 谆谆教诲
incumbent: 现任
incursion: 侵入
indict: 起诉
indifferent: 冷漠
indigenous: 土著
indigent: 贫困
indignant: 愤怒
indolent: 好逸恶劳
induce: 促使
indulgent: 放纵的
ineffable: 不可言说
ineluctable: 不可避免
inept: 无能
ineradicable: 不能根除
inert: 惰性的
inexorable: 无情
infamous: 臭名昭著
infatuated: 痴迷
infer: 推断
infinitesimal: 无限
inflammatory: 发炎的
influx: 辐辏
infraction: 侵害
infrastructure: 基础设施
infringe: 违犯
infuse: 注入
ingenuous: 直率的
ingratiate: 迎合
inherent: 固有
inimical: 敌意
injunction: 禁令
innate: 先天
innocuous: 无害的
innuendo: 讽刺
inordinate: 过度的
inquisition: 探究
insatiable: 贪心
insidious: 阴险
insinuate: 暗示
insipid: 平淡
insolent: 张狂
insouciant: 漫不经心
instigate: 唆
insufferable: 不能忍受的
insular: 岛屿
insuperable: 不可逾越
insurgent: 叛乱
insurrection: 起义
integral: 积分
integrate: 整合
interim: 临时
interloper: 闯入者
interlude: 插曲
interminable: 没完没了
intermittent: 断断续续的
intersperse: 点缀
intervene: 干预
intimate: 亲密
intractable: 顽固性
intransigent: 妥协
intricate: 错综复杂
intrigue: 诡计
intrinsic: 固有
introspective: 内省
inundate: 漫
invective: 漫骂的
inveterate: 根深蒂固
invidious: 令人反感
inviolate: 不可侵犯
invoke: 调用
irascible: 暴躁
iridescent: 虹彩
ironic: 具有讽刺意味
irrevocable: 不可撤销
itinerant: 江湖
jargon: 行话
jaunt: 短程游览
jingoism: 沙文主义
jocular: 诙谐
jubilation: 欢腾
judicious: 明智的
junction: 连接点
junta: 军政府
juxtapose: 并列
karma: 因果报应
kinetic: 动力
labyrinth: 迷宫
laconic: 简洁
lament: 哀叹
lampoon: 讽刺
languish: 憔悴
larceny: 盗窃罪
largess: 慷慨
lascivious: 淫荡
latent: 潜
laud: 赞美
lavish: 阔气
lax: 松弛
layman: 外行
legacy: 遗产
lethargy: 昏睡
levity: 轻率
liaison: 联络
libel: 诽谤
licentious: 淫乱
limpid: 清澈
listless: 蔫
litany: 一连串
litigate: 诉讼
livid: 铁青
loath: 厌恶
lobby: 前厅
loquacious: 贫嘴
lout: 糊涂人
lucid: 清醒
ludicrous: 滑稽的
lugubrious: 悲哀
luminous: 发光的
lyrical: 抒情
machination: 诡计
magnanimous: 坦荡
magnate: 巨头
malaise: 全身乏力
malapropism: 飞白辞格
malfeasance: 渎职
malignant: 恶性
malinger: malinger
malleable: 可锻铸
mandate: 任务
mania: 躁狂症
manifest: 表现
manifesto: 宣言
marginal: 边缘
marshal: 元帅
martial: 武
martyr: 烈士
materialistic: 唯物主义的
matriculate: 录取
maudlin: 感伤
maverick: 特立独行
mawkish: 婆婆妈妈
maxim: 格言
meander: 蜿蜒
mediate: 调解
medium: 中
melancholy: 愁绪
melee: 乱斗
mellifluous: 流畅
menagerie: 动物园
mendacious: 谲
mendicant: 乞丐
mentor: 导师
mercenary: 雇佣兵
mercurial: 易变的
metamorphosis: 变态
meticulous: 细致
microcosm: 缩影
milieu: 环境
millennium: 千年
miniscule: 微乎其微
mire: 泥沼
misanthropic: 厌恶人类
mitigate: 减轻
mode: 模式
modulate: 调制
mollify: 缓和
momentum: 动量
monolithic: 单片
moratorium: 暂停
mores: 习俗
moribund: 垂死
morose: 郁闷
mortify: 腐坏
motif: 主题
motley: 杂色
mundane: 平凡
municipal: 市政
munificent: 优厚
muse: 沉思
muster: 鼓起
myopia: 近视
myriad: 无数的
mystic: 神秘
narcissism: 自恋狂
nebulous: 模糊
nefarious: 邪恶
nemesis: 复仇者
neologism: 新词
neophyte: 新手
nepotism: 裙带关系
nihilism: 虚无主义
nirvana: 涅
noisome: 丛生
nomadic: 游牧
nomenclature: 命名法
nominal: 公称
nonchalant: 冷淡
nostalgia: 怀旧之情
notorious: 臭名昭著
novel: 小说
noxious: 毒
nuance: 细微差别
nullify: 废止
obdurate: 顽固
obeisance: 顿首
obfuscate: 混淆
objective: 目的
oblique: 斜
oblivion: 遗忘
obscure: 朦胧
obsequious: 低三下四
obtrusive: 突兀
obtuse: 钝
obviate: 避免
occult: 隐匿
odious: 可恶
odyssey: 奥德赛
officious: 非官方的
olfactory: 嗅觉
oligarchy: 寡头政治
ominous: 不祥
omniscient: 无所不知
onerous: 繁重的
opaque: 不透明
opprobrious: 可耻
opulent: 富裕的
ordinance: 条例
orthodox: 正统
oscillate: 摆动
osmosis: 渗透
ostensible: 表面的
ostentatious: 财大气粗
ostracize: 放逐
oust: 逐出
override: 覆盖
overture: 序曲
oxymoron: 矛盾
pacify: 安抚
painstaking: 潜心
palatable: 适口
palliate: 缓和
pallor: 苍白
palpable: 扪
paltry: 微不足道
panacea: 万能药
pandemic: 流感大流行
panegyric: 颂
parable: 寓言
paradigm: 范例
paradox: 悖论
paragon: 模范
parallel: 平行
paranoia: 偏执狂
paranormal: 超自然现象
parochial: 教区
parody: 滑稽模仿
paroxysm: 发作
parsimonious: 俭省的
partisan: 党派
partition: 划分
pastoral: 牧歌
patent: 专利
paternal: 父亲的
pathology: 病理
pathos: 感伤
patina: 绿锈
patriarch: 族长
patrician: 贵族
patrimony: 遗产
patronize: 宠幸
paucity: 缺乏
peccadillo: peccadillo
peculiar: 奇特
pedantic: 迂腐
pedestrian: 行人
pejorative: 贬义
penchant: 爱好
penitent: 忏悔的人
pensive: 哀思
peregrination: 游动
peremptory: 蛮横
perennial: 多年生
perfidy: 背信弃义
perfunctory: 敷衍
peripatetic: 逍遥
periphery: 周边
perjury: 伪证
permeate: 渗透
pernicious: 有害
perpetrator: 肇事者
perpetuate: 延续
perquisite: 额外补贴
pertinent: 有关
perturb: 烦扰
peruse: 细读
pervade: 弥漫
perverse: 悖
petulant: 易怒的
phantasm: 幻象
philanthropy: 慈善事业
philistine: 庸俗
phlegmatic: 冷淡的
pilgrimage: 朝圣
pious: 虔
pivotal: 关键的
placate: 安抚
placebo: 安慰剂
plaintive: 哀怨
platitude: 老生常谈
platonic: 柏拉图式
plausible: 似是而非
plebeian: 平民
plethora: 过多
pliable: 易弯的
plight: 困境
plunder: 掠夺
pluralism: 多元化
poignant: 凄美
polarize: 偏振
polemic: 论战
ponderous: 沉重
pontificate: 教皇
porous: 多孔
portent: 预兆
posterity: 后人
posthumous: 死后的
postulate: 假定
posture: 姿势
pragmatic: 务实
prattle: 咿
precarious: 危险的
precedent: 先例
precept: 箴言
precipitate: 沉淀
precipitous: 陡峭
preclude: 排除
precocious: 早熟
precursor: 先导
predecessor: 前任
predicament: 困境
predilection: 好发
predispose: 易患
predominant: 优越的
preeminent: 超群
preempt: 抢占
pregnant: 孕
prelude: 序幕
premeditated: 预谋的
premise: 前提
preponderance: 优势
prepossess: prepossess
prerogative: 特权
presage: 预示
presentiment: 预感
presumably: 想必
presuppose: 臆断
prevail: 战胜
primal: 原始
pristine: 质朴
privation: 困苦
proclaim: 宣布
procure: 促成
prodigal: 败家子
prodigious: 惊人
prodigy: 神童
profane: 粗俗
profess: 宣称
proficient: 精通
profligate: 挥霍
profound: 深刻
profuse: 丰富的
progeny: 子孙
proletariat: 无产阶级
proliferate: 增生
prolific: 多产的
promulgate: 颁布
propagate: 传播
propensity: 倾向
propitious: 吉祥
proponent: 支持者
propound: 针对性地提出
proprietary: 所有权
propriety: 礼
prosaic: 平淡
proscribe: 禁止
proselytize: 传教
protagonist: 主角
protege: 门生
protocol: 协议
protract: 拖长
provident: 公积金
provincial: 省级
provisional: 临时
provocation: 挑衅
prowess: 实力
proximity: 接近
prudent: 谨慎
prurient: 荒淫
pseudonym: 笔名
psyche: 精神
pummel: 揍
punctilious: 过份注意的
pundit: 权威人士
pungent: 泼辣
punitive: 惩罚性
purblind: purblind
puritanical: 清教徒
putative: 假定
quaint: 精巧
qualify: 修饰
qualitative: 定性
quandary: 困惑
quasi: 准
quay: 码头
quell: 荡平
querulous: 哓
query: 询问
queue: 队列
quiescent: 静
quintessential: 典型
quixotic: 堂吉诃德
quizzical: 滑稽
quotidian: 瘴疠
ramification: 分枝
rampant: 猖獗
rancor: 冤仇
rapacious: 贪婪
rapture: 欢天喜地
rarefied: 稀薄
ratify: 批准
ratiocination: 推理
rationale: 合理
raucous: 沙哑
reactionary: 反动
rebuff: 回绝
rebuke: 训斥
rebut: 驳斥
recalcitrant: 婼
recant: 放弃信仰
recidivism: 累犯
reciprocal: 倒数
reclaim: 回收
reclusive: 深居简出
recondite: 高深
recrimination: 对骂
redeem: 赎回
redolent: 芳香
redress: 纠正
redundant: 冗
referendum: 公投
refractory: 耐火
refute: 反驳
regime: 政权
regimen: 养生
reiterate: 重申
relegate: 贬谪
relentless: 狠
relinquish: 放弃
remission: 缓解
remonstrate: 表示异议
remuneration: 报酬
renaissance: 再生
rend: 裂
render: 给予
renounce: 放弃
reparation: 赔偿
repartee: 对答
repercussion: 余波
replenish: 补充
replete: 充满
replicate: 复制
repose: 休息
reprehensible: 应受谴责
repress: 抑
reprimand: 训诫
reprisal: 报复
reproach: 责备
reprobate: 堕落的
reprove: 责备
repudiate: 否认
repugnant: 令人厌恶
requisite: 必要
resignation: 辞职
resolute: 坚决
respite: 喘息
resplendent: 灿烂
resurrection: 复活
reticent: 沉默的
retort: 反驳
retrospect: 回想起来
revamp: 修补
revel: 陶醉
revere: 尊敬
revile: 唾骂
revulsion: 厌恶
rhapsodize: 揄扬
rhetoric: 修辞
ribald: 下流
rife: 非常多的
rigorous: 严格
rivet: 铆钉
robust: 强大的
rogue: 流氓
rout: 大败
rudimentary: 起码
rue: 后悔
ruminate: 寻味
rustic: 乡村
saccharine: 糖精
sacrilege: 冒渎
sacrosanct: 神圣不可侵犯
sagacious: 明智
salient: 突出的
sally: 俏皮话
salutary: 有益
salutation: 称呼
sanctimonious: 道貌岸然
sanction: 制裁
sanguine: 乐观
sarcasm: 讽刺
sardonic: 嘲讽
savant: 学者
scant: 有限的
schism: 分裂
scintillate: 发出火花
scorn: 轻蔑
scrupulous: 一丝不苟
scrutinize: 细察
seamless: 无缝
secede: 分裂出去
seclusion: 隔离
sect: 教派
secular: 世俗
sedentary: 久坐不动
sedition: 煽动叛乱
segregate: 分离
self-made: 自制
sensory: 感觉的
sententious: 简洁的
sentient: 有情
sequester: 隔离
serendipity: 运气
serene: 安详
serpentine: 蛇纹石
servile: 低三下四
shackle: 铁链
shibboleth: 陈词滥调
shrewd: 精明
singular: 单数
sinister: 险恶
skirmish: 前哨战
skittish: 娇媚
slake: 熄灭
slander: 诽谤
sloth: 树懒
sobriety: 清醒
solace: 慰藉
solidarity: 团结
solvent: 溶剂
soporific: 催眠
sordid: 污秽
sovereign: 君主
spate: 接连发生
spawn: 卵
specious: 华而不实的
specter: 幽灵
spectrum: 光谱
sporadic: 零星
spurious: 伪
spurn: 吐弃
squalor: 肮脏
squander: 挥霍
stagnation: 停滞
stalwart: 伟岸
stark: 与之形成鲜明
static: 静止
staunch: 坚定
steadfast: 坚定
stigmatize: 诬蔑
stint: 限制
stipend: 助学金
