abase: అవమానించు
bestow: ఇచ్చు
bilious: పైత్యం
bivouac: తాత్కాలిక శిబిరం
blanch: పాలిపోవు
bland: బ్లాండ్
blandishment: మృదుభాషణములు
blasphemy: దైవదూషణ
blatant: కఠోర
blight: ముడత
bliss: ఆనందం
blithe: అత్యుత్సాహముగల
bluster: హోరెత్తు
bombast: నిరర్ధక శబ్ద పుష్టి
boon: వరం
boor: చెడు పద్ధతులు కల
booty: booty
botch: botch
bourgeois: బూర్జువా
bovine: బోవిన్
bracing: బ్రేసింగ్
brandish: Brandish
bravado: ధైర్యవంతమైన
brawn: కండ బలం
brazen: ఇత్తడి
breach: మించే
brevity: సంక్షిప్తత
brink: అంచులకు
bristle: bristle
broach: బ్రోచ్
bromide: బ్రోమైడ్
brouhaha: brouhaha
brusque: brusque
bucolic: పల్లె ప్రాంతపు
buffoon: buffoon
bulwark: బుల్వార్క్
bureaucracy: ఉద్యోగిస్వామ్యం
burgeon: burgeon
burlesque: పరిహాస
byzantine: బైజాంటైన్
cabal: కుట్రదారుల
cache: కాష్
cacophony: cacophony
cadence: లయ
cajole: బుజ్జగించు
calamity: విపత్తు
callous: విచక్షణాజ్ఞానం
callow: కాల్లో
calumny: అపనింద
candor: స్వచ్ఛమైన ప్రవర్తన
canon: కెనాన్
cant: పరి
canvass: ఓట్ల
capacious: తోనూ
capital: రాజధాని
capitalism: పెట్టుబడిదారీ
capitulate: వశమవుతుంది
capricious: మోజుకనుగుణముగా
captivate: దోచుకోవడానికి
carcinogenic: కేన్సరు
cardinal: కార్డినల్
careen: మరమ్మత్తు కోసం వాహనాన్ని పక్కగా వంచు
caricature: వ్యంగ్య
cartography: మానచిత్ర
cascade: క్యాస్కేడ్
castigate: castigate
cataclysm: ఉపద్రవము
catalyst: ఉత్ప్రేరకం
categorical: వర్గీకర
catharsis: విరేచనమగుట
catholic: కాథలిక్
caucus: సమాలోచన
caustic: ప్రమాద
cavalier: కావలీర్
cavil: వితండవాదం చేయు
celibacy: బ్రహ్మచర్యం
censure: అభిశంసన
cerebral: సెరిబ్రల్
chaff: చాఫ్
chagrin: క్రోధంతో
chameleon: ఊసరవెల్లి
champion: ఛాంపియన్
channel: ఛానల్
charisma: తేజస్సు
charlatan: కుహనా మేధావి
chasm: అగాధం
chaste: పవిత్రమైన
chastise: దండించే
cherub: కెరూబులకు
chicanery: chicanery
chimera: సంకరాలు
choleric: అతి కోపిష్టి
chortle: chortle
chronic: దీర్ఘకాలిక
chronicle: క్రానికల్
churl: churl
chutzpah: chutzpah
cipher: సాంకేతికలిపి
circuitous: ఉండే
circumlocution: వాక్య
circumnavigate: చుట్టి
circumscribe: పరిమితం చేయు
circumspect: circumspect
circumvent: తప్పించుకునేందుకు
citadel: సిటాడెల్
civil: పౌర
clandestine: రహస్య
classic: క్లాసిక్
cleave: చీలికలుగా
clemency: క్షమాభిక్ష
cliche: క్లిచ్
climatic: వాతావరణ
clique: జట్టు
cloister: వసారా
clone: క్లోన్
clout: పలుకుబడి
cloy: అనుభవించడం ఇష్టంలేని
coalesce: సహకరించు
coddle: సేవ చేయు
coerce: బలవంతపెట్టడానికి
cogent: బలవంతపెట్టగల
cogitate: ఒకే ధ్యాసతో ఉండు
cognitive: అభిజ్ఞా
cognizant: జ్ఞానంగల
coherent: పొందికైన
cohort: సామరస్యం
colloquial: వ్యవహారిక
collusion: కుట్రల
commemorate: జ్ఞాపకార్ధం
commensurate: లక్షణములు
commiserate: దయ చూపు
commodious: విశాలంగా ఉన్న
compatible: అనుకూలంగా
compelling: బలవంతపు
compendium: క్లుప్తీకరణ
competent: సమర్థ
compile: కంపైల్
complacent: ఆత్మసంతృప్తి
complement: పూరక
complicity: క్లిష్టపరిస్థితి
comply: అనుగుణంగా
composed: కూర్చిన
comprehensive: సమగ్ర
comprise: వహిస్తాయి
compromise: రాజీ
compunction: అపరాధభావం
concave: పుటాకార
concede: అంగీకరించడానికి
concentric: కేంద్రక
concert: కచేరీ
conciliatory: శాంతి పూర్వక
concise: సంక్షిప్తమైన
concoct: ఊహాజనితంగా
concomitant: ఏకకాలిక
concord: ఏక తాళం
concurrent: ఉభయ
condescend: దయగా చూస్తున్నట్టు కన్పించు
condone: క్షమించరు
conducive: సహాయకారి
confederate: సమ్మేళనా
confer: చర్చించే
confidant: ఆంతరంగికుడు
configuration: ఆకృతీకరణ
conflagration: దావానలం
confluence: సంగమం
confound: కలగలుపు
congeal: చల్లబరచుట ద్వారా ముద్దగా చేయు
congenial: అనుకూలంగా
congenital: జన్మతః
congregate: సమావేశం
conjecture: ప్రతిపాదనను
conjugal: దాంపత్య
conjure: మాయాజాలం
connive: ఉపేక్షిస్తున్నారు
connoisseur: అన్నీ తెలిసిన
consecrate: పవిత్రం
consensus: ఏకాభిప్రాయం
conservatory: కన్సర్వేటరి
consign: పంపు
consolidate: ఏకీకృతం
consonant: హల్లు
conspicuous: ప్రస్ఫుటమైన
consternation: దిగ్భ్రాంతి
constituency: నియోజకవర్గం
construe: వివరించు
consummate: సంపూర్ణ
contempt: ధిక్కారం
contentious: వివాదస్పద
contiguous: పక్కపక్క
contingent: ఆగంతుక
continuum: క్రమణిక
contraband: నిషిద్ధ
contretemps: దురదృష్టకర సంఘటన
contrite: తప్పు
contrived: కంట్రైవ్డ్
contumely: తీవ్రమైన తిట్టు
conundrum: తికమక పెట్టే సమస్య
convene: సమావేశం
conventional: సంప్రదాయ
conversant: పరిచయం
converse: విపర్యం
convey: అందించటంలో
conviction: దోషిగా
convivial: స్నేహితులతో కలిసి విందు ఏర్పాటు చేసుకొను
convolution: కాన్వోల్యూషన్
copious: విపరీతంగా
cordial: సుహృద్భావ
corollary: పరిణామం
corporeal: శారీరిక
correlation: సహసంబంధం
corroborate: బలపరచడం
corrosive: తినివేయు
corrugated: ముడతలు
cosmopolitan: కాస్మోపాలిటన్
coterie: అధికారులలో
countenance: వదనం
coup: తిరుగుబాటు
covenant: నిబంధన
covert: కోవర్టు
covet: తీవ్రమైన లైంగిక వాంఛ
cower: భయంచేత వంగిపోవు
crass: క్రాస్
craven: క్రావెన్
credulous: తేలికగా నమ్మిన ఫలితంగా
crescendo: స్వరస్థాయి ఆరోహణ
crestfallen: crestfallen
crevice: రాతిలో ఏర్పడే పగులు
cringe: భయంతో మూల దాగుకొను
criterion: ప్రమాణం
critique: విమర్శ
crux: ఆయువుపట్టు
cryptic: నిగూఢ
cuisine: వంటకాలు
culinary: పాక
cull: కల్
culminate: ముగిసి
culpable: దోషపూరిత
curb: కాలిబాటలు
curmudgeon: curmudgeon
cursory: తొందరలో
curtail: తగ్గిస్తుంటే
cynic: మనుష్యద్వేషి
daunt: నిరుత్సాహపరుచు
dearth: కరవు
debacle: ఓటమి
debase: ముద్రణను కల్తీ
debauchery: జారత్వం
debilitate: దుర్బల పరచు
debunk: అసత్యాలుగా
decadent: క్షీణదశలో
decimate: decimate
decorous: decorous
decree: డిక్రీ
decry: ఖండిస్తారు
deduce: రాబట్టడానికి
deem: పరిగణించు
defame: నిందించు
deference: గౌరవం
deficit: లోటు
defile: మాలిన్యము
definitive: నిశ్చయాత్మక
deft: తెలివిగల
defunct: వాడుకలోలేని
degenerate: చెడిపోవు
degrade: అధోకరణం
deign: భావించు
deity: దేవత
dejected: భాధ పడే
delectable: ఇవే
deleterious: విషతుల్య
delineate: ప్రదర్శిస్తుండటం
delinquent: నేరాలుగా
delude: తప్పుదోవ
deluge: వెల్లువలో
delve: నిరోధం
demagogue: ప్రజా నాయకుడు
demeanor: వైఖరిలో
demise: మరణము
demography: జనాభా
demur: అభ్యంతరాలు తెలుపు
demure: గంభీరంగా
denizen: తాత్కాలిక నివాసి
denomination: విలువ కలిగిన
denote: సూచించడానికి
denounce: నిందించు
depict: వర్ణిస్తాయి
deplete: క్షీణతకు
deplore: నిందించినా
deploy: మోహరించేందుకు
depose: పదవీచ్యుతుని
depravity: దుర్మార్గం
deprecate: అధిగమిస్తాయి
derelict: వదిలివేసిన
deride: వెక్కిరించు
derogatory: అమర్యాదకరమైన
desiccate: కాండాలను ఎండబెట్టడం
desist: వాడేం
despondent: నిరాశతో
despot: నిరంకుశ పాలకుడు
destitute: నిరాశ్రయులైన
desultory: పరస్పర సంబంధంలేని
devout: విశ్వాసంగల
dexterous: నైపుణ్యం
dialectical: గతితార్కిక
diatribe: తీవ్రమైన విమర్శ
dichotomy: వైరుధ్యాన్ని
dictum: సామెత
didactic: సందేశాత్మక
diffident: భయపడే
diffuse: ప్రసరించి
digress: .నువ్వేనా
dilapidated: శిధిలమైన
dilate: విస్తారంగా వర్ణించు
dilemma: గందరగోళాన్ని
dilettante: లోతుగా అధ్యయనం చేయకుండుట
diminution: తరుగుదల
dire: భయంకరమైన
dirge: అంత్యక్రియల సమయంలో పాడే గేయము
disaffect: స్నేహభావం లేకుండా
disarray: కలగాపులగము
discern: విచారించడం
disclaim: పరిత్యజించటం
discomfit: ఓడించు
disconcert: ఇబ్బంది కలిగించు
discourse: ఉపన్యాసం
discreet: వివేకం
discrepancy: వ్యత్యాసం
discrete: వివిక్త
discriminate: వివక్షత
disdain: రోతను
disgruntle: disgruntle
disinformation: తప్పు దోవ
disinterested: నిస్వార్థమైన
dismal: దుర్భరమైన
dismay: ఆదుర్దా
disparage: అప్రతిష్ట
disparate: అసమాన
dispassionate: నిష్పాక్షిక
disperse: పంచి
dispirit: నిరుత్సాహపరచు
disposition: గుణముల
disproportionate: అసమాన
disquiet: ఉద్రిక్తత
dissemble: dissemble
disseminate: నడిపారు
dissent: అసమ్మతి
disservice: అపచారం
dissident: అసంతృప్త
dissipate: వెదజల్లు
dissolution: కరగడం
dissuade: విరమింపచేయడానికి
distend: లోనుండి ఒత్తిడి వలన పైకి ఉబ్బునట్లు చేయు
distinct: ప్రత్యేకమైన
distinguish: విభజన
diurnal: రోజువారీ
divine: దివ్య
divulge: బయటపెట్టలేదు
docile: విధేయంగా
doctrinaire: సిద్ధాంతం
document: పత్రం
dogmatic: పిడివాద
doldrums: నిశ్చలత్వం
doleful: doleful
dolt: dolt
domestic: దేశీయ
dormant: నిద్రాణమైన
dotage: వృద్ధాప్యంలో కలుగు బుద్ది మాంద్యము
double: డబుల్
dour: కఠినమైన
downcast: నిరుత్సాహపూరితమైన
downplay: తక్కువ ప్రాధాన్యతను
draconian: డ్రాకోనియన్
droll: వింతైన
dross: చిత్తం
dubious: అవాస్తవ
duplicity: కపటం
duress: శాసించడం
ebb: ఎబ్
ebullient: ఉరకులువేసి
eccentric: అసాధారణ
ecclesiastical: పురోహిత
eclectic: పరిశీలనాత్మక
eclipse: గ్రహణం
ecosystem: పర్యావరణ వ్యవస్థ
edict: శాసనం
edifice: కట్టడమును
edify: నిష్టకలుగ చెయ్యి
efface: వూడుచు
effectual: సఫలమైన
efficacy: సమర్ధతకు
effigy: దిష్టిబొమ్మను
effusion: ద్రవం
egalitarian: సమతావాది
egocentric: అహంకారము
egregious: అతిశయించిన
elation: హర్షం
electorate: ఓటర్లు
elegy: స్మృతిగీతం
elicit: రాబట్టు
elite: ఉన్నత
elliptical: దీర్ఘవృత్తాకార
elocution: ఉచ్ఛారణ
elusive: అంతుచిక్కని
emaciate: కృషింపజెయ్యి
emanate: పుట్టు
emancipate: దాస్య విమోచనంచెయ్యి
embargo: ఆంక్షల
embellish: అలంకరించడానికి
embody: రూపొందించు
embroil: కలవ బెట్టు
embryonic: పిండ
emigrate: వలస పోవడానికి
eminent: ప్రముఖ
emissary: దూత
empathy: సానుభూతిగల
empirical: అనుభావిక
empower: గలదా
emulate: అనుకరించే
encroach: చొచ్చుకురావడం
endear: దూరం
endemic: స్థానీయ
enervate: దుర్బలము చేయు
enfranchise: స్వేచ్చను
engaging: మనసుకు
engender: పుట్టించు
enigma: ఎనిగ్మా
enmity: శత్రుత్వం
ennui: విసుగే
enormity: దౌష్ట్యం
ensue: సంభవించు
entail: సంక్రమించు
entity: పరిధి
entreat: బతిమాలుకొను
entrepreneur: వ్యాపారవేత్త
enumerate: వివరించినప్పుడు
envision: ఊహ
ephemeral: అశాశ్వత
epicure: భోజనప్రియుడు
epigram: చాటు పద్యాలు
epilogue: ఉపసంహారం
epitome: సారాంశం
epoch: శకానికి
equanimity: శాంతము
equestrian: రౌతు
equitable: సమాన
equivocal: సందిగ్ధమైన
erudite: ప్రౌఢ
esoteric: గోప్యమైన
espouse: చేపట్టు
estimable: గౌరవమైన
estrange: మిత్రబేధం
ethereal: అంతరిక్ష
ethics: నీతి
eulogy: ఆవిధంగా
euphemism: సభ్యోక్తి
evanescent: అస్థిరమైన
evince: చూపించు
evoke: పిలుచు
exacerbate: మరింత ఉధృతం
exacting: కఠిన
exalt: పొగడు
exasperate: రెచ్చగొట్టు
excise: ఎక్సైజ్
exemplify: ఉదహరించు
exempt: మినహాయింపు
exhaustive: కూలంకష
exhort: బుధ్ధి
exhume: తవ్వి తవ్వి
exigency: exigency
existential: అస్తిత్వ
exodus: ఎక్సోడస్
exonerate: నిర్దోషిగా
exorbitant: అన్యాయమైన
expatriate: బహిష్కృత
expedient: ఉపాయము
expedite: వేగవంతం
expiate: ప్రక్షాళన
explicate: explicate
explicit: స్పష్టమైన
exposition: వైభవంగా
expostulate: బుధ్ధిచెప్పు
expunge: తీసివెయ్యి
exquisite: సున్నితమైన
extant: సజీవ
extol: పొగుడు
extort: బలవంతంగా
extraneous: విదేశీయ
extrapolate: అంచనా
extremity: కొన
extricate: ముగించేందుకు
extrovert: బహిర్ముఖ
exuberant: అతిశయమైన
exult: ఆనందించు
fabrication: కల్పన
facade: ముఖభాగాన్ని
facet: విభాగాన్ని
facetious: సరసమైన
facile: సులువైన
faction: కక్ష
fallacy: అవాస్తవం
farcical: అసభ్యకర
fastidious: సులభముగా
fatalist: అదృష్టమే కారణమనే వాడు
fathom: బార
fatuous: బుద్ధిలేని
fauna: జంతుజాలం
faux: ఫాక్స్
fawn: ఫాన్
fecund: బహుఫలఫ్రదమైన
feign: నటించు
felicity: ఆనందము
fervor: ఔత్సుక్యము
fester: చీముపోయు
fetish: ఫెటిష్
fetter: సంకెల
fiasco: అభాసు
fiat: ఫియట్
fickle: చంచలమైన
fidelity: విశ్వసనీయత
figment: కట్టుకథ
figurative: అలంకారిక
finesse: యుక్తి
fiscal: ఆర్థిక
flagrant: చెడ్డ
flaunt: కులుకు
fledgling: అనుభవంలేని
flippant: వాచాలుడైన
florid: శృంగారమైన
flout: వెక్కిరంచు
fodder: పశుగ్రాసం
foible: అపరాధము
folly: మూర్ఖత్వం
foment: ప్రజ్వలించడానికి
foray: దోపుడు
forbear: సహించు
forebode: పురస్సూచన చేయుట
foreclose: ప్రతబంధము
forego: విడిచిపెట్టు
forensic: ఫోరెన్సిక్
forestall: దుస్సాధ్యం
forsake: త్యజించు
forswear: త్యజించు
forte: బలముగా
forthright: బాగా ఆలోచించారు
fortuitous: యాదృచ్ఛిక
foster: పెంపుడు
founder: స్థాపకుడు
fragmentary: fragmentary
fraternal: సోదరభావ
frenetic: ఆవేశపూరితమైన
frugal: మితవ్యయం
fruitful: ఫలవంతమైన
fuel: ఇంధన
fulminate: నిందించు
furtive: రహస్యమైన
futile: వారించటానికి
gaffe: సంఘటనకు
galvanize: కూడగట్టడానికి
gambit: గంబిట్
gamut: స్వరసప్తకం
garner: పొందుతూ
garrulous: వాగునట్టి
gastronomy: తినటం
gauche: gauche
generic: సాధారణ
genesis: పుట్టుకకు
genocide: మారణహోమం
genre: కళా ప్రక్రియ
genteel: ఉన్నత తరగతుల వారికి సరిపడిన
germane: సంబంధించి
gesticulate: మాటలతో బాటు సంజ్ఞలు
ghastly: అందవిహీనమైన
glut: సమృద్ధిని
grandiloquent: ఉపన్యాసం
grandiose: భారీ
gratis: ఉచిత
gratuitous: అసందర్భ
gravity: గురుత్వాకర్షణ
gregarious: గుంపులో
grievous: దుస్సహమైన
grimace: వినోదం కోసం కాని, ఇతరులను విసిగించటానికి గాని చేసే ముఖం చిట్లింపు, నోటి వెక్కిరింపు
guile: మోసానికి
guise: తీరులో
habituate: అలవాటుపరచు
hackneyed: hackneyed
halcyon: హాల్క్యోన్
hapless: అదృష్టము
harass: వేధించడానికి
harbinger: దూత
harp: హార్ప్
harry: హ్యారీ
hedonism: హెడోనిజం
hegemony: పెత్తనం
heinous: దుశ్చర్యలను
herald: హెరాల్డ్
heresy: నాస్తికత్వం
hermetic: హెర్మెటిక్
heyday: దాస
hiatus: విరామం
hierarchy: సోపానక్రమం
histrionic: హావభావ
hoary: వెంట్రుకలు నెరిసిన
homage: మర్యాదగా
homily: ధర్మోపదేశం
homogeneous: సజాతీయ
hubris: గర్వం
husbandry: పెంపకంపై
hyperbole: అతిశయోక్తి
hypocrisy: వంచన
hypothetical: ఊహాత్మక
iconoclast: విగ్రహభంజనం
ideology: భావజాలం
idiom: జాతీయం
idiosyncrasy: ప్రత్యేక అలవాటు
idyllic: కావ్యంలాగా సాగిపోతూ
ignominy: అవమానము
illicit: అక్రమ
imbue: ఉత్తేజపరచు
immigrate: వలస
imminent: ఆసన్న
immutable: శాశ్వతమని
impartial: నిష్పాక్షిక
impasse: ప్రతిష్టంభనను
impeach: ప్రశ్నించు
impeccable: తప్పుపట్టలేని
impecunious: నిర్ధనుడైన
impede: అడ్డుకోవడానికి
impending: రాబోయే
impenetrable: ఛేదించరాని
imperative: అత్యవసరం
imperial: సామ్రాజ్యవాద
impervious: ప్రవేశించలేని
impetuous: కఠినంగా
implement: అమలు
implication: సూత్రప్రాయంగా
importune: కోరు
impotent: నపుంసకుడు
impoverish: బ్రతుకులు
impregnable: దుర్భేద్యమైన
impresario: ఇంప్రెసారియోచే
impromptu: ఆశువుగా
improvise: మనోధర్మం
impugn: ప్రశ్నించు
impunity: శిక్షనుండి మినహాయింపు
inadvertent: అనుకోకుండానే
inalienable: శాశ్వత
inane: అర్ధం లేని
inaugurate: ప్రారంభోత్సవానికి
incandescent: జ్వలించే
incantation: మంత్రం
incarnation: అవతారం
incendiary: దాహక
incense: ధూప
incessant: ఎడతెగని
incipient: తొలి
incisive: చీల్చెడి
inclination: వంపు
incongruous: పొసగని
incorrigible: సరిద్ధడానికి
increment: పెంపు
inculcate: జనాల్లో
incumbent: అధికారంలోలేని
incursion: దాడి
indict: నేరం ఆరోపించు
indifferent: భిన్నంగానే
indigenous: స్వదేశీ
indigent: పేదల
indignant: ఆగ్రహించిన
indolent: దొంగ
induce: ప్రేరేపించడానికి
indulgent: తీర్చే
ineffable: అనిర్వచనీయమయిన
ineluctable: తప్పించుకోలేని
inept: పనికిమాలినది
ineradicable: ఉన్మూలించరాని
inert: జడ
inexorable: అనూహ్యమైన
infamous: అప్రసిద్ధ
infatuated: తీవ్రమైన మోహాన్ని
infer: హేతు బద్దంగా
infinitesimal: ఇన్ఫినిటేసిమల్
inflammatory: తాపజనక
influx: ప్రవాహం
infraction: అతిక్రమణను
infrastructure: అవస్థాపన
infringe: ఉల్లంఘించే
infuse: మనసులో దృఢంగా చొప్పించు
ingenuous: అమాయకమైన
ingratiate: మద్దతు పొందేందుకు
inherent: స్వాభావిక
inimical: వ్యతిరేకమైన
injunction: నిషేధాజ్ఞను
innate: అంతర్లీన
innocuous: హానికరం
innuendo: గర్భిత నింద
inordinate: మితిమీరిన
inquisition: న్యాయ విచారణ
insatiable: అత్యాశగల
insidious: కృత్రిమ
insinuate: పరోక్షంగా ఆరోపించు
insipid: రుచిలేని
insolent: పెంకితనంగల
insouciant: ఉదాసీనమయిన
instigate: రెచ్చగొట్టు
insufferable: సహించరాని
insular: దీవులకు
insuperable: అనుల్లంఘనీయమైన
insurgent: తిరుగుబాటు
insurrection: తిరుగుబాటు
integral: సమగ్ర
integrate: ఇంటిగ్రేట్
interim: మధ్యంతర
interloper: ఇతరుల వ్యవహారాలలో జోక్యం
interlude: మధ్యలో
interminable: అంతంలేని
intermittent: అడపాదడపా
intersperse: వైవిద్యం
intervene: జోక్యం
intimate: సన్నిహిత
intractable: తగ్గని
intransigent: గనుక
intricate: జటిలమైన
intrigue: కుట్ర
intrinsic: ఇంట్రిన్సిక్
introspective: ఆలోచింపచేసే
inundate: ముంచెత్తితే
invective: దూషణ పూర్వకమైన
inveterate: నిస్సహాయ
invidious: అన్యాయం పై ద్వేషబావం కలిగించునట్టి
inviolate: inviolate
invoke: ఇన్వోక్
irascible: తీవ్ర స్వభావం గల
iridescent: iridescent
ironic: విరుద్ధ
irrevocable: కాద
itinerant: దేశదిమ్మరి
jargon: పడికట్టు
jaunt: విహారయాత్ర
jingoism: యుద్ధోన్మాదం
jocular: హాస్యభరితంగా
jubilation: jubilation
judicious: న్యాయపరమైన
junction: జంక్షన్
junta: జుంటా
juxtapose: పరిశీలించడాన్ని
karma: కర్మ
kinetic: గతి
labyrinth: చిక్కైన
laconic: laconic
lament: విషాదం
lampoon: లాంపూన్స్
languish: నశించు
larceny: చిల్లర
largess: largess
lascivious: lascivious
latent: గుప్త
laud: స్తోత్రము
lavish: విలాసవంతమైన
lax: నిర్లక్ష్యం
layman: చదువురాని
legacy: వారసత్వం
lethargy: బద్ధకం
levity: చులకన
liaison: అనుసంధాన
libel: పరువునష్టం
licentious: licentious
limpid: నిర్మలమైన
